,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.5-50347-20000,192.168.1.2,192.168.1.5,50347,20000,6, 16/05/2020  14:45:01 ,44022446.0,24,25,201,177,129,619,594,494,17,8,8.375,1.837117307087384,16,7,7.375,1.837117307087384,14,5,5.375,1.837117307087384,282,7,24.76,63.34448147497408,281,6,23.76,63.34448147497408,277,2,19.76,63.34448147497408,18.6268613970246,17.513792850129228,14.151871524812591,1.1130685468953725,917134.2916666665,1002789.9751616385,2000901.0,179.0,44022179.0,1914007.782608696,393529.3073425936,2001214.0,111936.0,44022065.0,1834252.708333333,548475.3744343597,2001471.0,665.0,240,24,48,250,25,100,0.5451764311324273,0.5678921157629451,16.73469387755102,7,282,45.56715534525392,2076.365646258504,15.734693877551019,6,281,45.56715534525392,2076.365646258504,12.714285714285715,2,277,45.39456648836584,2060.666666666667,0,0,0,0,0,0,0,0,1,13,49,MASTER,1,129,0,0,0,24,25,NORMAL
1,192.168.1.2-192.168.1.5-50347-20000,192.168.1.2,192.168.1.5,50347,20000,6, 16/05/2020  14:45:47 ,12006263.0,7,7,56,49,35,49,42,14,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8.745435611397152,7.579377529877531,4.0812032853186695,1.1660580815196202,923558.6923076924,1037948.739293708,2000840.0,267.0,12005939.0,2000989.833333333,103.80061014592673,2001137.0,2000896.0,12005895.0,2000982.5,133.78004335475453,2001158.0,2000808.0,70,7,14,70,7,28,0.5830290407598101,0.5830290407598101,7.5,7,8,0.5188745216627708,0.2692307692307692,6.5,6,7,0.5188745216627708,0.2692307692307692,3.5,2,5,1.5566235649883124,2.4230769230769234,0,0,0,0,0,0,0,0,1,13,14,MASTER,1,129,0,0,0,7,7,NORMAL
2,192.168.1.5-192.168.1.12-20000-37608,192.168.1.5,192.168.1.12,20000,37608,6, 16/05/2020  14:46:01 ,98.0,1,1,7,6,2,1000,999,997,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,10275510.204081632,10255102.040816328,10193877.551020408,20408.163265306124,98.0,-1.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,4,10,1,2,10204.081632653062,10204.081632653062,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,13,1,2,OUTSTATION,5,130,0,0,0,1,1,DNP3_ENUMERATE
3,192.168.1.5-192.168.1.2-20000-39423,192.168.1.5,192.168.1.2,20000,39423,6, 16/05/2020  14:46:01 ,24067223.0,14,14,98,84,28,109,95,67,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.7857142857142865,0.8017837257372733,7,4,6.7857142857142865,0.8017837257372733,5,2,4.785714285714286,0.8017837257372733,8.600909211669332,7.437501202361402,3.9472771744376165,1.1634080093079289,891378.6296296297,1011149.8074203273,2000987.0,269.0,24067223.0,1851324.8461538462,539719.756934999,2001303.0,55029.0,24066332.0,1851256.3076923082,539978.5921436121,2001338.0,54099.0,140,14,56,140,14,28,0.5817040046539644,0.5817040046539644,7.392857142857142,5,8,0.6852566815265062,0.4695767195767196,6.392857142857142,4,7,0.6852566815265062,0.4695767195767196,3.3928571428571432,2,5,1.5236235005501102,2.321428571428572,0,0,0,0,0,0,0,0,13,1,28,OUTSTATION,1,129,0,0,0,14,14,NORMAL
4,192.168.1.5-192.168.1.12-20000-37612,192.168.1.5,192.168.1.12,20000,37612,6, 16/05/2020  14:46:26 ,122.0,1,1,7,6,2,1000,999,997,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,8254098.360655737,8237704.918032788,8188524.590163935,16393.442622950817,122.0,-1.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,4,10,1,2,8196.721311475409,8196.721311475409,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,13,1,2,OUTSTATION,5,130,0,0,0,1,1,DNP3_ENUMERATE
5,192.168.1.5-192.168.1.2-20000-53692,192.168.1.5,192.168.1.2,20000,53692,6, 16/05/2020  14:46:26 ,19221083.0,13,12,535,522,470,102,90,66,282,7,41.153846153846146,86.13056576485701,281,6,40.153846153846146,86.13056576485701,277,2,36.153846153846146,86.13056576485701,17,5,8.5,2.8123105996832765,16,4,7.5,2.8123105996832765,14,2,5.5,2.8123105996832765,33.1406924365292,31.840037317356163,27.886045755070096,1.3006551191730455,800878.4583333335,968588.2267330241,2001030.0,215.0,19221083.0,1601756.916666667,750604.4892642994,2001245.0,705.0,19220278.0,1747298.0,583006.4228044148,2001318.0,139999.0,130,13,52,120,12,24,0.6763406619699837,0.6243144572030619,25.48,5,282,63.16718557394601,3990.093333333332,24.48,4,281,63.16718557394601,3990.093333333332,21.44,2,277,62.90606753989104,3957.1733333333336,0,0,0,0,0,0,0,0,13,1,25,OUTSTATION,1,129,0,0,0,12,13,NORMAL
6,192.168.1.12-192.168.1.5-37616-20000,192.168.1.12,192.168.1.5,37616,20000,6, 16/05/2020  14:46:47 ,12.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,83916666.66666667,83750000.0,83250000.0,166666.66666666663,12.0,-1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,10,1,4,83333.33333333331,83333.33333333331,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
7,192.168.1.5-192.168.1.2-20000-45053,192.168.1.5,192.168.1.2,20000,45053,6, 16/05/2020  14:46:47 ,20619960.0,12,12,84,72,24,93,81,57,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.75,0.8660254037844386,7,4,6.75,0.8660254037844386,5,2,4.75,0.8660254037844386,8.583915778692102,7.419994995140631,3.928232644486216,1.1639207835514715,896520.0,998031.3588065164,2000989.0,198.0,20619960.0,1874541.8181818181,419474.068628996,2001290.0,609780.0,20619083.0,1874462.0909090908,419763.04113141133,2001342.0,608829.0,120,12,48,120,12,24,0.5819603917757358,0.5819603917757358,7.375,5,8,0.7109393663377318,0.5054347826086957,6.375,4,7,0.7109393663377318,0.5054347826086957,3.375,2,5,1.5269321331121546,2.3315217391304346,0,0,0,0,0,0,0,0,13,1,24,OUTSTATION,1,129,0,0,0,12,12,NORMAL
8,192.168.1.5-192.168.1.12-20000-37620,192.168.1.5,192.168.1.12,20000,37620,6, 16/05/2020  14:47:09 ,184.0,1,1,7,6,2,1000,999,997,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,5472826.0869565215,5461956.521739131,5429347.826086956,10869.565217391304,184.0,-1.0,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,4,10,1,2,5434.782608695652,5434.782608695652,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,13,1,2,OUTSTATION,5,130,0,0,0,1,1,DNP3_ENUMERATE
9,192.168.1.5-192.168.1.2-20000-57763,192.168.1.5,192.168.1.2,20000,57763,6, 16/05/2020  14:47:09 ,26059129.0,17,16,563,546,478,134,118,86,282,7,33.117647058823536,76.07141574939727,281,6,32.117647058823536,76.07141574939727,277,2,28.117647058823533,76.07141574939727,17,5,8.375,2.4186773244895647,16,4,7.375,2.4186773244895647,14,2,5.375,2.4186773244895647,26.74686479352399,25.480513949641214,21.643087149996454,1.2663508438827715,814347.78125,987035.1580184463,2000945.0,218.0,26059129.0,1628695.5625,774433.619295372,2001170.0,558.0,26058329.0,1737221.933333333,663812.7458296685,2001266.0,45170.0,170,17,68,160,16,32,0.6523625559396096,0.6139882879431621,21.12121212121212,5,282,55.26173946307561,3053.859848484848,20.12121212121212,4,281,55.26173946307561,3053.859848484848,17.09090909090909,2,277,55.03996481896339,3029.3977272727275,0,0,0,0,0,0,0,0,13,1,33,OUTSTATION,1,129,0,0,0,16,17,NORMAL
