,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,18/05/2020 11:40:00 PM,118151517,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.322133468671414,1.0664272723641797,945212.1359999995,994498.3227090527,2069942.0,251.0,116149900.0,1935831.666666667,309345.4978218251,2070903.0,255036.0,118151517.0,1846117.453125,509839.8594360231,2070589.0,251.0,0,1,0,0,1952,2080,0.5162862191604362,0.5501410532037435,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
1,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,18/05/2020 11:42:00 PM,118149820,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.322511536623587,1.0664425895866791,945198.56,991574.0913376672,2064536.0,200.0,116147948.0,1935799.133333333,288756.5369151013,2065320.0,403962.0,118149820.0,1846090.9374999998,498383.1336946165,2065203.0,200.0,0,1,0,0,1952,2080,0.51629363464117,0.5501489549455091,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
2,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,18/05/2020 11:44:00 PM,118341646,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.279844037322245,1.064713938489583,946733.1679999995,991157.890662585,2203174.0,247.0,116340056.0,1939000.9333333329,274529.4883536018,2203783.0,551936.0,118341646.0,1849088.2187500002,491337.99225540296,2203844.0,247.0,0,1,0,0,1952,2080,0.515456747998925,0.5492571904906579,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
3,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,18/05/2020 11:46:00 PM,118329822,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.28247002687117,1.0648203290629474,946638.5759999999,988114.4578313177,2079011.0,266.0,116328015.0,1938800.25,251323.29274385696,2079759.0,890062.0,118329822.0,1848903.4687499998,479519.4415401228,2079693.0,266.0,0,1,0,0,1952,2080,0.5155082545463476,0.5493120745165999,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
4,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,18/05/2020 11:48:01 PM,118330684,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.28227856774664,1.0648125721980952,946645.472,992451.6454051291,2072608.0,195.0,116306922.0,1938448.7000000004,284759.69237755425,2073332.0,414825.0,118330684.0,1848916.9375000002,496742.67981629615,2073365.0,195.0,0,1,0,0,1952,2080,0.5155044992387604,0.5493080729593348,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
5,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,18/05/2020 11:50:01 PM,118221842,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.30647558342053,1.065792901450478,945774.7360000005,996693.9958910459,2064063.0,245.0,116220038.0,1937000.633333333,320330.6284681165,2064945.0,195014.0,118221842.0,1847216.281250001,516294.0311994145,2064767.0,245.0,0,1,0,0,1952,2080,0.515979103083168,0.5498137983673101,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
6,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,18/05/2020 11:52:01 PM,118298976,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.28932307917864,1.0650979768413211,946391.8079999995,1001431.8863769412,2061863.0,330.0,116297046.0,1938284.1,346543.819753059,2062786.0,21745.0,118298976.0,1848421.5,532144.5909287535,2062670.0,330.0,0,1,0,0,1952,2080,0.5156426713279412,0.5494553055133801,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
7,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,18/05/2020 11:54:02 PM,118150750,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.32230434423819,1.06643419529711,945206.0000000005,997489.1252184076,2069903.0,437.0,116148958.0,1935815.9666666668,329259.22996907675,2070878.0,130019.0,118150750.0,1846105.4687500002,521359.85606832657,2070698.0,437.0,0,1,0,0,1952,2080,0.516289570739077,0.5501446245580328,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
8,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,18/05/2020 11:56:02 PM,118248032,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.300649130465022,1.0655568458001907,945984.2559999999,993965.53090349,2076056.0,267.0,116247070.0,1937451.1666666663,300447.52101581404,2076712.0,278096.0,118248032.0,1847625.5,505107.317473589,2076758.0,267.0,0,1,0,0,1952,2080,0.5158648221731081,0.5496920236270825,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
9,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,18/05/2020 11:58:02 PM,118228675,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.30495520650976,1.0657313041865693,945829.4,990420.0811490986,2068397.0,225.0,116227101.0,1937118.35,275764.014732188,2068921.0,524075.0,118228675.0,1847323.046875,491655.43095043843,2069009.0,225.0,0,1,0,0,1952,2080,0.5159492821855611,0.5497820220010078,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
10,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,19/05/2020 12:00:02 AM,118114701,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.33033799916236,1.066759674564134,944917.6079999995,986897.8576116505,2043889.0,317.0,116112894.0,1935214.8999999997,255390.94761791432,2044642.0,810080.0,118114701.0,1845542.2031249998,480895.0875682506,2044540.0,317.0,0,1,0,0,1952,2080,0.5164471440350173,0.5503125305291168,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
11,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,19/05/2020 12:02:02 AM,118222745,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.30627465129489,1.0657847607920117,945781.9600000002,987018.8508551527,2058689.0,266.0,116222122.0,1937035.3666666662,249102.1671097595,2059454.0,863866.0,118222745.0,1847230.390625,478116.7722596852,2059387.0,266.0,0,1,0,0,1952,2080,0.5159751619707358,0.5498095988212759,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
12,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,19/05/2020 12:04:03 AM,118523889,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.239436000956736,1.0630768283345815,948191.1120000001,992696.9055389713,2087645.0,250.0,116522045.0,1942034.0833333337,275046.3745302729,2088340.0,511915.0,118523889.0,1851935.765625,492120.66518486274,2088271.0,250.0,0,1,0,0,1952,2080,0.5146641787969006,0.5484126495376811,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
13,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,19/05/2020 12:06:03 AM,118233610,61,64,1116.0,1533.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,23.953125,40.05806487472825,22.404796740960546,1.0572289892865492,953496.8548387098,995455.2540458514,2067827.0,246.0,116232014.0,1937200.2333333339,308725.3113135907,2068614.0,253582.0,118233610.0,1876723.9682539676,456098.4642670629,2068593.0,246.0,0,1,0,0,1952,2048,0.5159277467718358,0.541301242514713,17.0,292.0,21.166666666666668,28.602027900133237,818.0760000000001,0,0,0,1,1,0,0,0,1.0,21.336,18.295081967213115,23.953125,0,0,0,0,0,0,61,1116,64,1533,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
14,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,19/05/2020 12:08:03 AM,118389419,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923085,55.37009224648823,26.26923948330213,1.0642843006096685,947115.3520000004,1002291.2970780376,2064859.0,263.0,116387978.0,1939799.633333333,346587.9257496178,2065316.0,33901.0,118389419.0,1849834.671875,532388.6131049193,2065442.0,263.0,0,1,0,0,1952,2080,0.5152487487078554,0.5490355519018131,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
15,192.168.1.1-192.168.1.3-56734-20001-6,192.168.1.1,56734,192.168.1.3,20001,6,19/05/2020 12:10:04 AM,118059723,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923085,55.37009224648823,26.3425994994076,1.0672564427412723,944477.784,997667.1705495516,2000589.0,304.0,116058094.0,1934301.566666667,334473.6267959648,2001204.0,140099.0,118059723.0,1844683.171875,524233.2493013633,2001250.0,304.0,0,1,0,0,1952,2080,0.5166876429144256,0.5505687998268469,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
