,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:35:01 PM,116610156,13,6,279.0,547.0,45.0,18.0,21.46153846153846,7.827466433606138,292.0,17.0,91.16666666666669,119.31708455483928,7.083431052094638,0.16293606536295174,6478342.000000001,6162794.272494619,21999943.0,10309.0,114605275.0,9550439.583333334,5964387.835044667,21999943.0,750826.0,115682915.0,23136583.0,17377391.44018073,45290494.0,1224975.0,0,1,0,0,428,192,0.11148257103780908,0.051453494325142665,17.0,292.0,42.2,69.76698057783042,4867.4315789473685,0,0,0,1,1,0,0,0,0.0,44.42105263157895,21.46153846153846,91.16666666666669,0,0,0,0,0,0,13,279,6,547,-1,589,13,0,3396406.5,1613945.5362348303,5055034.0,1235284.0,11344143.22222222,5115170.08946552,21999943.0,6029555.0,REPLAY
1,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:37:03 PM,108723388,3,3,108.0,61.0,72.0,18.0,36.0,31.176914536239792,27.0,17.0,20.33333333333333,5.773502691896257,1.5544033635154932,0.055185918231319284,21744677.6,28889984.359932587,70000454.0,431763.0,35764002.0,17882001.0,12510448.542376807,26728224.0,9035778.0,2958932.0,1479466.0,1481675.7919389787,2527169.0,431763.0,0,1,0,0,96,96,0.027592959115659642,0.027592959115659642,17.0,72.0,28.0,19.916492328386212,396.66666666666674,0,0,0,1,1,0,0,0,1.0,32.666666666666664,36.0,20.33333333333333,0,0,0,0,0,0,3,108,3,61,-1,589,3,0,2958932.0,0.0,2958932.0,2958932.0,35254818.666666664,31363992.768833898,70000454.0,9035778.0,REPLAY
2,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:39:47 PM,98430104,7,9,180.0,1076.0,45.0,18.0,25.714285714285715,9.621404708847278,664.0,17.0,119.55555555555556,223.4883168708776,12.760323813129366,0.16255189570865433,6562006.933333333,9290402.371584924,33636906.0,1997.0,86593539.0,14432256.5,10536268.098553317,33636906.0,4977865.0,98430104.0,12303763.0,20178930.48550591,58299965.0,1997.0,0,1,0,0,236,288,0.07111645437253628,0.09143544133611807,17.0,664.0,74.94117647058822,165.50131063991432,27390.683823529413,0,0,0,1,1,0,0,0,1.0,79.625,25.714285714285715,119.55555555555556,0,0,0,0,0,0,7,180,9,1076,-1,614,7,0,3362225.0,2906553.938785929,5417469.0,1306981.0,15053295.5,9774761.199757522,33636906.0,7457777.0,REPLAY
3,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:41:57 PM,119004114,6,5,126.0,530.0,27.0,18.0,21.0,4.6475800154489,292.0,17.0,106.0,127.06494402469944,5.512414469973701,0.09243377922212,11900411.4,12706938.24465533,42963899.0,736528.0,109942846.0,21988569.2,16355963.32153619,49999939.0,9001005.0,49036118.0,12259029.5,14565091.535134787,33470306.0,736528.0,0,1,0,0,192,160,0.050418425030247266,0.04201535419187273,17.0,292.0,56.16666666666666,88.41208610646494,7816.69696969697,0,0,0,1,1,0,0,0,0.0,61.27272727272727,21.0,106.0,0,0,0,0,0,0,6,126,5,530,-1,614,6,0,3225221.0,375824.4257735253,3490969.0,2959473.0,16079095.999999998,13178026.604330005,42963899.0,5570299.0,REPLAY
4,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:44:03 PM,90007201,2,4,36.0,513.0,18.0,18.0,18.0,0.0,292.0,17.0,128.25,135.00709857880312,6.099511971269942,0.06666133301934364,18001440.2,19924228.020300187,48339889.0,10511.0,48339889.0,48339889.0,0.0,48339889.0,48339889.0,90007201.0,30002400.333333336,47731672.29423823,85044287.0,10511.0,0,1,0,0,64,128,0.022220444339781216,0.04444088867956243,17.0,292.0,81.0,112.18882891506323,12586.333333333336,0,0,0,1,1,0,0,0,2.0,94.5,18.0,128.25,0,0,0,0,0,0,2,36,4,513,-1,614,2,0,0.0,0.0,0.0,0.0,28348095.666666664,19656916.15507828,48339889.0,9044111.0,REPLAY
5,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:46:21 PM,115022044,5,8,90.0,581.0,18.0,18.0,18.0,0.0,292.0,17.0,72.625,106.52556701830515,5.833664371326942,0.11302181345342813,9585170.333333336,14535627.638169115,53978769.0,7879.0,39003290.0,9750822.5,8313129.675609803,21001147.0,960648.0,94283261.0,13469037.285714287,18780029.591260396,53978769.0,7879.0,0,1,0,0,160,256,0.043469928251318506,0.06955188520210961,17.0,292.0,49.214285714285715,83.04973354417366,6897.258241758243,0,0,0,1,1,0,0,0,1.0,53.0,18.0,72.625,0,0,0,0,0,0,5,90,8,581,-1,614,5,0,847894.75,986428.9256063595,2195480.0,7879.0,13953808.125,16314630.355254184,53978769.0,5845040.0,REPLAY
6,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:48:23 PM,116541342,7,8,126.0,137.0,18.0,18.0,18.0,0.0,18.0,17.0,17.125,0.35355339059327345,2.2567098978489537,0.1287096899913852,8324381.571428574,8031081.864947766,30929164.0,207443.0,80856026.0,13476004.333333332,8733203.673280058,30929164.0,8037089.0,116541342.0,16648763.142857146,21426583.324441966,62488195.0,207443.0,0,1,0,0,224,256,0.06006452199597976,0.06864516799540545,17.0,18.0,17.5625,0.5123475382979804,0.2625000000000005,0,0,0,1,1,0,0,0,1.0,18.733333333333334,18.0,17.125,0,0,0,0,0,0,7,126,8,137,-1,626,7,0,1424404.25,736194.9206405303,2116169.0,748029.0,12292920.222222222,7405947.8374903975,30929164.0,5920920.0,REPLAY
7,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:50:27 PM,119361248,5,5,90.0,530.0,18.0,18.0,18.0,0.0,292.0,17.0,106.0,127.06494402469944,5.194315662651248,0.08377928488147175,13262360.88888889,14324645.785229085,48003397.0,49582.0,97361021.0,24340255.25,22614902.17130705,58020907.0,9527927.0,70003624.0,17500906.0,30904634.66825392,63667484.0,49582.0,0,1,0,0,160,160,0.04188964244073588,0.04188964244073588,17.0,292.0,58.0,92.57537469543398,8570.199999999999,0,0,0,1,1,0,0,0,1.0,63.8,18.0,106.0,0,0,0,0,0,0,5,90,5,530,-1,626,5,0,268413.0,0.0,268413.0,268413.0,17013262.142857146,14132514.493949175,48003397.0,6067727.0,REPLAY
8,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:52:28 PM,115985514,9,15,162.0,699.0,18.0,18.0,18.0,0.0,292.0,17.0,46.6,80.64188915020708,7.4233408147848525,0.206922392049752,5042848.434782608,9237408.558071107,42000384.0,10328.0,110370843.0,13796355.375000002,15742631.917867038,50016109.0,3125974.0,103487972.0,7391998.0,14225153.441661913,47575592.0,10328.0,0,1,0,0,288,480,0.077595897018657,0.129326495031095,17.0,292.0,35.120000000000005,63.24115221383411,3999.443333333335,0,0,0,1,1,0,0,0,1.0,36.583333333333336,18.0,46.6,0,0,0,0,0,0,9,162,15,699,-1,639,9,0,8525173.0,7582462.189245061,17193878.0,3125974.0,15068332.5,14437820.653452165,42000384.0,5575208.0,REPLAY
9,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:54:47 PM,119309849,4,6,135.0,1946.0,72.0,18.0,33.75,25.85053190942113,664.0,17.0,324.3333333333333,228.11459108673142,17.441979999488563,0.08381537722003153,13256649.888888888,15667965.327301113,35656576.0,4231.0,118880289.0,39626763.0,30732718.342806853,66002275.0,5878140.0,88313734.0,17662746.8,29992525.492282704,70658505.0,4231.0,0,1,0,0,128,204,0.033526150888012606,0.05028922633201891,17.0,664.0,190.72727272727272,223.16769072116642,49803.81818181818,0,0,0,1,1,0,0,0,1.0,209.8,33.75,324.3333333333333,0,0,0,0,0,0,4,135,6,1946,-1,651,4,0,2019277.6666666663,3129052.670332401,5624042.0,4231.0,22650403.2,15486640.890605738,35656576.0,5719256.0,REPLAY
