,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:35:01 ,118041660.0,16,14,128,112,80,115,101,45,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,24,7,8.214285714285714,4.543441112511214,23,6,7.2142857142857135,4.543441112511214,19,2,3.2142857142857144,4.543441112511214,2.0585952451024494,1.8044476839786905,1.0589481713489968,0.2541475611237592,4070402.0689655175,3409518.67429494,12840562.0,10531.0,109895759.0,7326383.933333334,5386017.1152113145,22438789.0,10531.0,114031348.0,8771642.153846154,8602925.021742566,26197321.0,2004104.0,160,16,32,140,14,56,0.13554536593267158,0.11860219519108765,8.1,7,24,3.0439312149553097,9.265517241379307,7.1,6,23,3.0439312149553097,9.265517241379307,4.166666666666667,2,19,3.17406878370305,10.07471264367816,3074169.3,4806362.253017187,14044809.0,0.0,7915406.6,2835352.911931626,12840562.0,5036358.0,1,13,30,MASTER,1,129,0,0,0,16,14,REPLAY
1,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:37:01 ,118027560.0,12,8,1006,994,946,73,65,49,654,7,83.83333333333333,196.18953420948154,653,6,82.83333333333333,196.18953420948154,649,2,78.83333333333333,196.18953420948154,17,8,9.125,3.181980515339464,16,7,8.125,3.181980515339464,14,5,6.125,3.181980515339464,9.141932613026992,8.972480664685435,8.430234429992451,0.16945194834155686,6211976.842105263,6802357.401730866,22000123.0,198416.0,99604274.0,9054934.0,15963945.419971405,52966206.0,414573.0,114006072.0,16286581.714285715,6782733.815033278,26018984.0,9285552.0,120,12,48,80,8,16,0.1016711690049341,0.06778077933662274,53.95,7,654,153.94034216984326,23697.628947368423,52.95,6,653,153.94034216984326,23697.628947368423,49.75,2,649,153.6982261994006,23623.14473684211,1944221.875,2972144.163989956,8299384.0,0.0,12809223.125,5616737.469223328,22000123.0,5031221.0,13,1,20,OUTSTATION,1,129,0,0,0,8,12,REPLAY
2,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:40:01 ,49898721.0,4,1,50,46,38,7,6,2,17,8,12.5,5.196152422706632,16,7,11.5,5.196152422706632,14,5,9.5,5.196152422706632,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1.1423138480844028,1.042110878954192,0.8016237530416861,0.10020296913021076,12474680.25,13214679.04281428,31812810.0,3239500.0,49898721.0,16632907.0,13183226.38491424,31812810.0,8055349.0,0.0,0.0,0.0,0.0,0.0,40,4,8,10,1,4,0.08016237530416861,0.020040593826042157,11.4,7,17,5.128352561983234,26.3,10.4,6,16,5.128352561983234,26.3,8.0,2,14,5.612486080160912,31.5,4027674.5,5695991.9027242735,8055349.0,0.0,20921686.0,15402375.270287113,31812810.0,10030562.0,1,13,5,MASTER,1,129,0,0,0,4,1,REPLAY
3,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:42:05 ,117872285.0,7,3,92,85,71,465,462,450,17,8,13.142857142857142,4.810702354423639,16,7,12.142857142857142,4.810702354423639,14,5,10.142857142857142,4.810702354423639,282,7,155.0,138.69751259485514,281,6,154.0,138.69751259485514,277,2,150.0,138.69751259485514,4.725453485524609,4.640615900506213,4.420038179458387,0.08483758501839511,13096920.555555554,19442340.31918333,62000105.0,676527.0,117872285.0,19645380.83333333,21584669.32900477,62000105.0,4835065.0,17461220.0,8730610.0,10024833.856217667,15819238.0,1641982.0,70,7,14,30,3,12,0.05938630951287657,0.02545127550551854,55.7,7,282,94.7934010830337,8985.78888888889,54.7,6,281,94.7934010830337,8985.78888888889,52.1,2,277,94.09740815889788,8854.322222222223,2285318.0,4252095.565611385,9784608.0,0.0,21289139.0,23729717.184544694,62000105.0,5087486.0,1,13,10,MASTER,1,129,0,0,0,7,3,REPLAY
4,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:44:11 ,96215103.0,3,4,33,30,24,747,743,727,17,8,11.0,5.196152422706632,16,7,10.0,5.196152422706632,14,5,8.0,5.196152422706632,282,7,186.75,129.83418912854452,281,6,185.75,129.83418912854452,277,2,181.75,129.83418912854452,8.106835368663484,8.034081717919067,7.805427387008046,0.07275365074441588,16035850.5,13914538.1762706,31962202.0,4735.0,60337420.0,30168710.0,5714515.979071017,34209483.0,26127937.0,93967822.0,31322607.33333333,33788300.84821896,67132038.0,4735.0,30,3,6,40,4,16,0.031180136033321086,0.04157351471109479,111.42857142857143,7,282,131.38728647635222,17262.61904761905,110.42857142857143,6,281,131.38728647635222,17262.61904761905,107.28571428571428,2,277,130.62505411254293,17062.90476190476,561820.25,1123640.5,2247281.0,0.0,23490771.75,9977426.971067954,31962202.0,9041899.0,1,13,7,MASTER,1,129,0,0,0,3,4,REPLAY
5,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:46:17 ,97886481.0,9,9,63,54,18,117,108,90,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,35,8,13.0,9.124143795447331,34,7,12.0,9.124143795447331,32,5,10.0,9.124143795447331,1.8388647560024145,1.654978280402173,1.1033188536014489,0.18388647560024146,5758028.294117647,6253827.286833998,27202362.0,1826605.0,90914543.0,11364317.875,21201164.05048199,62857690.0,2005909.0,87843107.0,10980388.375,7165403.060950084,27202362.0,2800679.0,90,9,36,90,9,18,0.09194323780012073,0.09194323780012073,10.0,7,35,6.978959976453597,48.70588235294117,9.0,6,34,6.978959976453597,48.70588235294117,6.0,2,32,7.491171274161572,56.11764705882353,3383290.4285714286,4934066.489500584,10838980.0,0.0,10600492.57142857,7548950.537398645,27202362.0,5028166.0,13,1,18,OUTSTATION,1,129,0,0,0,9,9,REPLAY
6,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:48:27 ,111368773.0,11,14,106,95,73,1003,989,933,17,8,9.636363636363637,3.640679257301507,16,7,8.636363636363637,3.640679257301507,14,5,6.636363636363638,3.640679257301507,282,7,71.64285714285714,109.5112267815898,281,6,70.64285714285714,109.5112267815898,277,2,66.64285714285714,109.5112267815898,9.957908039446568,9.73342859761955,9.033052739119249,0.22447944182701912,4640365.541666667,3997112.0107919546,14001178.0,8764.0,111368773.0,11136877.3,9498407.169410927,34069885.0,2240673.0,71434134.0,5494933.384615385,8753731.292398874,30122855.0,8764.0,110,11,22,140,14,56,0.09877095440388843,0.1257084874231307,44.36,7,282,86.53558035089766,7488.406666666666,43.36,6,281,86.53558035089766,7488.406666666666,40.24,2,277,86.17292691636587,7425.773333333333,2584455.1,3572946.8327702535,10048372.0,0.0,8552422.2,3100058.03684235,14001178.0,5026042.0,1,13,25,MASTER,1,129,0,0,0,11,14,REPLAY
7,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:50:48 ,119142167.0,8,14,64,56,40,542,528,472,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,282,7,38.714285714285715,83.25348555551807,281,6,37.714285714285715,83.25348555551807,277,2,33.714285714285715,83.25348555551807,5.0863603983298376,4.901707050535685,4.297387003209368,0.18465334779415246,5673436.523809523,7411583.81945251,30966894.0,9077.0,119142167.0,17020309.57142857,15219134.156796776,49034372.0,6068931.0,102097098.0,7853622.923076922,15701974.079088595,51914601.0,9077.0,80,8,16,140,14,56,0.06714667192514638,0.11750667586900615,27.54545454545455,7,282,67.22650219521014,4519.402597402596,26.54545454545455,6,281,67.22650219521014,4519.402597402596,23.272727272727273,2,277,67.0118552540425,4490.588744588744,3738192.0,4847447.778653043,10053064.0,0.0,13282117.57142857,8965702.221540762,30966894.0,7000178.0,1,13,22,MASTER,1,129,0,0,0,8,14,REPLAY
8,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:52:53 ,111175865.0,5,15,479,474,454,147,132,102,282,7,95.8,127.23875195867019,281,6,94.8,127.23875195867019,277,2,90.8,127.23875195867019,17,8,9.8,3.7263540204487127,16,7,8.8,3.7263540204487127,14,5,6.8,3.7263540204487127,5.630718501717976,5.45082334191868,5.001085442420439,0.17989515979929638,5851361.315789472,5811071.928377473,20652617.0,250205.0,103348850.0,25837212.5,22716076.90530372,45138727.0,250205.0,110526879.0,7894777.071428573,7217933.272319487,20652617.0,1033656.0,50,5,20,150,15,30,0.044973789949824095,0.13492136984947228,31.3,7,282,69.84501639909229,4878.3263157894735,30.3,6,281,69.84501639909229,4878.3263157894735,27.8,2,277,69.3629660022665,4811.221052631578,2900527.25,5123601.379229339,14531564.0,0.0,10996455.875,5721241.554468961,20652617.0,5291213.0,13,1,20,OUTSTATION,1,129,0,0,0,15,5,REPLAY
9,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:54:53 ,113934750.0,5,7,771,766,746,101,94,80,468,7,154.2,212.01815959959652,467,6,153.2,212.01815959959652,463,2,149.2,212.01815959959652,35,8,14.428571428571427,10.014275524755364,34,7,13.428571428571427,10.014275524755364,32,5,11.428571428571427,10.014275524755364,7.65350343069169,7.5481799889849235,7.249763570815753,0.1053234417067664,10357704.545454543,8883564.948799105,30000588.0,37750.0,113897000.0,28474250.0,18764320.696782906,53107707.0,12853974.0,105085798.0,17514299.666666668,10609872.159447383,32008868.0,8037195.0,50,5,20,70,7,14,0.043884767377819316,0.06143867432894705,72.66666666666667,7,468,146.90400906302006,21580.78787878788,71.66666666666667,6,467,146.90400906302006,21580.78787878788,68.83333333333333,2,463,146.40220647451343,21433.60606060606,223142.22222222228,669426.6666666665,2008280.0,0.0,12432080.0,8472275.433709117,30000588.0,5944386.0,13,1,12,OUTSTATION,1,129,0,0,0,7,5,REPLAY
