,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:35:01 ,73105194.0,23,29,211,188,142,1294,1265,1149,17,8,9.173913043478262,3.0991519941758185,16,7,8.173913043478262,3.0991519941758185,14,5,6.173913043478262,3.0991519941758185,654,7,44.620689655172406,131.16930547771986,653,6,43.620689655172406,131.16930547771986,649,2,39.620689655172406,131.16930547771986,20.586772534930965,19.875468766282193,17.659483948568692,0.7113037686487775,1433435.1764705882,1996794.0300096527,9034960.0,33.0,73104089.0,3322913.1363636362,2886785.0987728518,10914893.0,579059.0,73104340.0,2610869.285714286,2891936.3944897475,12865432.0,448.0,230,23,46,290,29,116,0.3146151284408055,0.3966886402079721,28.94230769230769,7,654,98.824346738522,9766.251508295623,27.94230769230769,6,653,98.824346738522,9766.251508295623,24.82692307692308,2,649,98.64885659749923,9731.596907993968,14433710.0,10366099.25557695,26101161.0,6285043.0,7933299.333333332,1184792.3714648627,9034960.0,6679980.0,1,11,52,MASTER,1,129,0,0,0,23,29,NORMAL
1,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:35:01 ,73768236.0,23,22,193,170,124,615,593,505,17,8,8.391304347826088,1.876629726513673,16,7,7.391304347826088,1.8766297265136735,14,5,5.391304347826088,1.8766297265136735,282,7,27.95454545454545,67.19373360290254,281,6,26.95454545454545,67.19373360290254,277,2,22.95454545454545,67.19373360290254,10.953223823869124,10.343205170312057,8.5267051797199,0.6100186535570675,1676550.8181818181,2899960.6823311374,17519173.0,390.0,71809352.0,3264061.4545454546,3663981.5488286815,17519173.0,212065.0,73761557.0,3512455.095238095,6203611.57971444,30166406.0,390.0,230,23,46,220,22,88,0.31178731181805674,0.2982313417390108,17.955555555555556,7,282,47.48107544330189,2254.4525252525245,16.955555555555556,6,281,47.48107544330189,2254.4525252525245,13.977777777777776,2,277,47.280828754123675,2235.4767676767683,22800931.0,32245385.85493313,45601862.0,0.0,13103745.0,6244358.161281912,17519173.0,8688317.0,1,13,45,MASTER,1,129,0,0,0,23,22,NORMAL
2,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:35:01 ,60909404.0,7,8,92,85,71,978,970,938,35,8,13.142857142857142,10.205040771249138,34,7,12.142857142857142,10.205040771249138,32,5,10.142857142857142,10.205040771249138,654,7,122.25,235.42469223572482,653,6,121.25,235.42469223572482,649,2,117.25,235.42469223572482,17.567073879100835,17.320806488272318,16.565586489731537,0.2462673908285164,4350671.714285715,5758709.412920284,17819341.0,29.0,46787982.0,7797997.0,7583227.496998807,21999945.0,2004889.0,60904517.0,8700645.285714285,11295974.488580106,31940763.0,408.0,70,7,14,80,8,32,0.114924782386641,0.1313426084418754,71.33333333333333,7,654,175.8736017983478,30931.52380952381,70.33333333333333,6,653,175.8736017983478,30931.52380952381,67.26666666666667,2,649,175.54546284028402,30816.209523809528,3092977.0,2063481.4052744291,4180604.0,0.0,12134374.0,4842152.052167369,17819341.0,6774852.0,1,12,15,MASTER,1,129,0,0,0,7,8,NORMAL
3,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:36:16 ,56090641.0,10,13,80,70,50,91,78,26,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,3.0486369374883773,2.6385863552530986,1.3549497499948342,0.4100505822352788,2549574.590909091,3225082.9666358707,11063667.0,16.0,52067554.0,5785283.777777777,3847987.351085005,11063683.0,2000925.0,51871053.0,4322587.75,4591554.1829791665,13063528.0,10893.0,100,10,20,130,13,52,0.17828286184142556,0.23176772039385324,7.434782608695652,7,8,0.5068698018697019,0.2569169960474308,6.434782608695652,6,7,0.5068698018697019,0.2569169960474308,3.3043478260869565,2,5,1.5206094056091057,2.3122529644268783,7916935.333333332,4769629.787763861,11001811.0,2423292.0,9438910.666666666,2485365.2449755413,11063667.0,6577834.0,1,11,23,MASTER,1,129,0,0,0,10,13,NORMAL
4,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:36:19 ,49450966.0,11,9,124,113,91,1171,1162,1126,17,8,11.272727272727273,4.540724811985617,16,7,10.272727272727273,4.540724811985617,14,5,8.272727272727273,4.540724811985617,485,7,130.11111111111111,204.07072575729995,484,6,129.11111111111111,204.07072575729995,480,2,125.11111111111113,204.07072575729995,26.18755718543496,25.78311614782207,24.610237138744672,0.4044410376128952,2602682.4210526315,3073311.0451180306,10965897.0,29.0,43674691.0,4367469.1,2939092.913494436,10965926.0,2000988.0,42186083.0,5273260.375,4686584.185486116,12965923.0,401.0,110,11,22,90,9,36,0.22244257068709236,0.1819984669258028,64.75,7,485,145.68743579104006,21224.828947368416,63.75,6,484,145.68743579104006,21224.828947368416,60.85,2,480,145.26537422031592,21102.028947368417,3059242.6,6840635.282097292,15296143.0,0.0,6830950.6,2478571.24744303,10965897.0,5069978.0,1,12,20,MASTER,1,129,0,0,0,11,9,NORMAL
5,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:36:28 ,68479950.0,22,25,194,172,128,1063,1038,938,17,8,8.818181818181818,2.6482044885142484,16,7,7.8181818181818175,2.6482044885142484,14,5,5.8181818181818175,2.6482044885142484,282,7,42.52,85.83662776849208,281,6,41.52,85.83662776849208,277,2,37.52,85.83662776849208,18.355737701327172,17.669405424507467,15.566600150847073,0.6863322768197114,1488694.5652173914,2645759.18187026,13068258.0,37.0,68479950.0,3260950.0,3334721.106344937,13068307.0,762912.0,66269429.0,2761226.208333333,3759630.465304432,15068335.0,469.0,220,22,44,250,25,100,0.3212619168092266,0.3650703600104848,26.74468085106383,7,282,64.31392711607324,4136.281221091582,25.74468085106383,6,281,64.31392711607324,4136.281221091582,22.680851063829788,2,277,64.05470025959767,4103.004625346902,8135222.0,8092670.417234043,16184697.0,37.0,10462231.666666666,2507729.8700869544,13068258.0,8065976.0,1,13,47,MASTER,1,129,0,0,0,22,25,NORMAL
6,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:37:38 ,71720368.0,18,25,261,243,207,1968,1943,1843,89,8,14.5,19.23003166006387,88,7,13.5,19.23003166006387,86,5,11.5,19.23003166006387,468,7,78.72,128.53096903081374,467,6,77.72,128.53096903081374,463,2,73.72,128.53096903081374,31.079037408173928,30.4794866640952,28.58323314793923,0.5995507440787253,1707627.8095238097,3408839.322866837,20163186.0,31.0,71718581.0,4218740.05882353,5242163.491007535,20163222.0,4871.0,71720185.0,2988341.041666666,4670534.90623626,22163361.0,362.0,180,18,36,250,25,100,0.2509747300794664,0.3485760139992589,51.83720930232558,7,468,103.04089115088938,10617.425249169431,50.83720930232558,6,467,103.04089115088938,10617.425249169431,47.67441860465117,2,463,102.73468393094916,10554.415282392027,7681886.75,14061464.124202652,28726575.0,0.0,9491933.0,7161809.584076872,20163186.0,5051454.0,1,11,43,MASTER,1,129,0,0,0,18,25,NORMAL
7,192.168.1.4-192.168.1.2-20000-48948,192.168.1.4,192.168.1.2,20000,48948,6, 18/05/2020  18:37:42 ,70322769.0,12,8,989,977,929,145,137,121,282,7,82.41666666666667,112.97985205202284,281,6,81.41666666666667,112.97985205202284,277,2,77.41666666666667,112.97985205202284,62,8,18.125,18.901530550271765,61,7,17.125,18.901530550271765,59,5,15.125,18.901530550271765,16.125644881816303,15.841241973847758,14.931152668348426,0.2844029079685415,3701198.3684210526,8391831.303309463,27629437.0,31.0,70322769.0,6392979.0,10557101.05104495,27630386.0,375.0,69562087.0,9937441.0,12112576.006156866,27631027.0,163972.0,120,12,48,80,8,16,0.1706417447811249,0.1137611631874166,56.7,7,282,92.55160722537454,8565.800000000001,55.7,6,281,92.55160722537454,8565.800000000001,52.5,2,277,92.20543425017401,8501.842105263158,2340505.0,3190428.5554409456,6003064.0,165597.0,20846856.33333333,10266225.22350958,27629437.0,9035778.0,12,1,20,OUTSTATION,1,129,0,0,0,8,12,NORMAL
8,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:37:46 ,73285447.0,7,6,696,689,661,66,60,48,654,7,99.42857142857143,244.54301403697,653,6,98.42857142857143,244.54301403697,649,2,94.42857142857143,244.54301403697,17,8,11.0,4.6475800154489,16,7,10.0,4.6475800154489,14,5,8.0,4.6475800154489,10.397698740924646,10.22031017972777,9.674499222198916,0.17738856119687718,6107120.583333332,6225260.345687231,18418460.0,28.0,54866987.0,9144497.833333334,8581901.406227443,21264012.0,2319879.0,73285419.0,14657083.8,6367497.058123364,22000046.0,7000087.0,70,7,28,60,6,12,0.09551691756754924,0.08187164362932793,58.615384615384606,7,654,178.92714460618626,32014.923076923074,57.615384615384606,6,653,178.92714460618626,32014.923076923074,54.53846153846154,2,649,178.6638442180433,31920.769230769234,2918158.8,4084903.5979502257,9350797.0,0.0,11738930.6,5753793.938244686,18418460.0,5310393.0,13,1,13,OUTSTATION,1,129,0,0,0,6,7,NORMAL
9,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:38:57 ,59958669.0,4,6,50,46,38,930,924,900,17,8,12.5,5.196152422706632,16,7,11.5,5.196152422706632,14,5,9.5,5.196152422706632,282,7,155.0,124.05482658889173,281,6,154.0,124.05482658889173,277,2,150.0,124.05482658889173,16.344592305743145,16.17781075160291,15.644109778354151,0.16678155414023615,6662074.333333332,8510059.125993602,22909113.0,498.0,59957110.0,19985703.33333333,19167390.95302583,42000069.0,6999972.0,40867713.0,8173542.6,11959115.939755196,27985944.0,498.0,40,4,8,60,6,24,0.06671262165609447,0.1000689324841417,98.0,7,282,118.21073461313814,13973.777777777776,97.0,6,281,118.21073461313814,13973.777777777776,93.8,2,277,117.57059345110258,13822.844444444443,0.0,0.0,0.0,0.0,11597286.2,8695573.923499916,22909113.0,5029293.0,1,11,10,MASTER,1,129,0,0,0,4,6,NORMAL
