,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:35:01 ,228685367.0,53,57,559,506,400,3558,3501,3273,89,8,10.547169811320755,11.490072701343017,88,7,9.547169811320755,11.490072701343017,86,5,7.547169811320754,11.490072701343017,654,7,62.42105263157895,130.1389295231969,653,6,61.42105263157895,130.1389295231969,649,2,57.42105263157895,130.1389295231969,18.0029009027062,17.521890676984153,16.061368718882655,0.4810102257220506,2098030.889908257,3695395.265896711,25782042.0,228.0,228684104.0,4397771.230769231,4611120.559456997,25782314.0,852.0,228685139.0,4083663.1964285714,5791956.601233455,35830077.0,365.0,530,53,106,570,57,228,0.2317594723933517,0.24925075332869895,37.42727272727272,7,654,97.17056403782743,9442.118515429524,36.42727272727272,6,653,97.17056403782743,9442.118515429524,33.39090909090909,2,649,96.90637640607969,9390.845788156796,4907334.375,8500276.277128369,26726471.0,0.0,9196463.1875,5103137.117465415,25782042.0,5049646.0,1,11,110,MASTER,1,129,0,0,0,53,57,REPLAY
1,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:39:07 ,200063606.0,16,21,236,220,188,2845,2824,2740,80,8,14.75,17.849369736772218,79,7,13.75,17.849369736772218,77,5,11.75,17.849369736772218,485,7,135.47619047619048,141.91286729807803,484,6,134.47619047619048,141.91286729807803,480,2,130.47619047619048,141.91286729807803,15.400102305463793,15.215161122308274,14.635345521063936,0.18494118315552105,5557322.388888889,11013809.753619833,44041966.0,21.0,200063606.0,13337573.733333332,13874728.899097938,44043000.0,969966.0,196489438.0,9824471.9,14631717.658710133,44042207.0,320.0,160,16,32,210,21,84,0.07997456568887397,0.10496661746664708,83.27027027027026,7,485,122.46533492486051,14997.758258258262,82.27027027027026,6,484,122.46533492486051,14997.758258258262,79.13513513513513,2,480,121.97111729197799,14876.953453453452,972893.5555555556,1394815.4911658666,4023256.0,0.0,20809829.666666668,13381094.68741572,44041966.0,8030528.0,1,11,37,MASTER,1,129,0,0,0,16,21,REPLAY
2,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:43:30 ,234133796.0,51,49,444,393,291,2614,2565,2369,17,8,8.705882352941176,2.4437194409101783,16,7,7.705882352941178,2.4437194409101783,14,5,5.705882352941178,2.4437194409101783,485,7,53.3469387755102,106.09185309210602,484,6,52.3469387755102,106.09185309210602,480,2,48.3469387755102,106.09185309210602,13.060908131348967,12.633801913842461,11.36102538567307,0.4271062175065064,2364987.8383838385,5405050.064753294,47543192.0,216.0,234133468.0,4682669.36,7735530.228609075,52963533.0,3114.0,234133421.0,4877779.604166667,7553162.185563214,47543498.0,506.0,510,51,102,490,49,196,0.21782417092831827,0.20928204657818814,30.58,7,485,77.22212222942441,5963.256161616163,29.58,6,484,77.22212222942441,5963.256161616163,26.6,2,480,76.93628480237345,5919.191919191921,5501022.769230769,6875584.793907596,17119573.0,0.0,11588226.307692308,11017073.144150447,47543192.0,5419394.0,1,11,100,MASTER,1,129,0,0,0,51,49,REPLAY
3,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:47:31 ,239291356.0,56,54,601,545,433,3127,3073,2857,107,8,10.732142857142858,13.721239105758727,106,7,9.732142857142858,13.721239105758727,104,5,7.732142857142858,13.721239105758727,688,7,57.907407407407405,124.55358300119131,687,6,56.907407407407405,124.55358300119131,683,2,52.907407407407405,124.55358300119131,15.579334173692427,15.119643519425747,13.748929568521481,0.4596906542666756,2195333.541284404,3781615.835243268,24823864.0,212.0,239291042.0,4350746.218181818,4453457.408062285,24824076.0,1080.0,239291060.0,4514925.660377358,6816568.09253982,33859915.0,455.0,560,56,112,540,54,216,0.2340243330812167,0.22566632118545896,33.89090909090909,7,688,90.55165746075964,8199.602668890744,32.89090909090909,6,687,90.55165746075964,8199.602668890744,29.90909090909091,2,683,90.294070584132,8153.01918265221,3671718.4736842094,5286295.741489197,16057204.0,0.0,8922546.894736841,4646028.752479821,24823864.0,5032042.0,1,11,110,MASTER,1,129,0,0,0,56,54,REPLAY
4,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:51:33 ,219842017.0,59,57,517,458,340,3558,3501,3273,17,8,8.76271186440678,2.5280426055639302,16,7,7.7627118644067785,2.5280426055639302,14,5,5.7627118644067785,2.5280426055639302,282,7,62.42105263157895,101.09506618037813,281,6,61.42105263157895,101.09506618037813,277,2,57.42105263157895,101.09506618037813,18.536038085931498,18.00838644962032,16.43452898269215,0.5276516363111788,1911669.7130434786,3280066.1866881936,22092862.0,129.0,219842017.0,3790379.6034482764,3799792.300788077,22093936.0,867.0,210822762.0,3764692.1785714286,4692184.674814448,22093254.0,360.0,590,59,118,570,57,228,0.26837453915827203,0.2592770971529069,35.12931034482759,7,282,75.53720996935897,5705.870089955024,34.12931034482759,6,281,75.53720996935897,5705.870089955024,31.146551724137932,2,277,75.18490300705263,5652.769640179911,5671172.533333332,9275568.615970982,32317188.0,0.0,8984961.933333334,4166196.747202974,22092862.0,5039296.0,1,11,116,MASTER,1,129,0,0,0,59,57,REPLAY
5,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:55:45 ,228148062.0,13,19,185,172,146,4180,4161,4085,17,8,14.230769230769232,4.323460152737353,16,7,13.230769230769232,4.323460152737353,14,5,11.230769230769232,4.323460152737353,468,7,220.0,128.74781551544865,467,6,219.0,128.74781551544865,463,2,215.0,128.74781551544865,19.132312419116673,18.992052625895194,18.544974535001746,0.14025979322147386,7359614.9032258075,13038196.297698053,45846566.0,362.0,228146960.0,19012246.666666668,16488989.82397138,46049309.0,20927.0,227203139.0,12622396.611111112,15339524.440404175,45846928.0,415.0,130,13,26,190,19,76,0.05698054099622376,0.08327925222525011,136.40625,7,468,142.0372189694681,20174.571572580644,135.40625,6,467,142.0372189694681,20174.571572580644,132.21875,2,463,141.31747246605266,19970.62802419355,2131369.333333333,2269055.0446271133,7288020.0,362.0,23218292.88888889,15300924.962501414,45846566.0,8042716.0,1,11,32,MASTER,1,129,0,0,0,13,19,REPLAY
6,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:59:49 ,239262043.0,57,56,546,489,375,3073,3017,2793,35,8,9.578947368421053,4.847485977365161,34,7,8.578947368421053,4.847485977365161,32,5,6.578947368421053,4.847485977365162,468,7,54.875,104.88938979186165,467,6,53.875,104.88938979186165,463,2,49.875,104.88938979186165,15.125675408531055,14.653389881820912,13.240712819625971,0.4722855267101434,2136268.2410714286,4598590.093112869,39031532.0,88.0,239261794.0,4272532.035714285,5918545.581894267,39031840.0,789.0,239261685.0,4350212.454545454,6495028.387756327,39031781.0,333.0,570,57,114,560,56,224,0.2382325223228157,0.2340530043873277,32.02654867256637,7,468,77.018719915656,5931.8832174462705,31.02654867256637,6,467,77.018719915656,5931.8832174462705,28.035398230088497,2,463,76.7280598239583,5887.195164348925,5223825.666666667,8942421.250493232,33978720.0,0.0,10726960.6,8183527.234062755,39031532.0,5546121.0,1,11,113,MASTER,1,129,0,0,0,57,56,REPLAY
7,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  19:03:57 ,238609727.0,13,15,140,127,101,1881,1866,1806,17,8,10.769230769230768,4.323460152737353,16,7,9.76923076923077,4.323460152737353,14,5,7.769230769230768,4.323460152737352,282,7,125.4,121.43946169652948,281,6,124.4,121.43946169652948,277,2,120.4,121.43946169652948,8.469897792557301,8.352551360992925,7.992130178330911,0.11734643156437626,8837397.296296297,19426411.536328364,55498556.0,245.0,238609353.0,19884112.75,25542584.86792745,55499651.0,112792.0,238609259.0,17043518.5,24596963.90952826,55498841.0,504.0,130,13,26,150,15,60,0.05448227179774612,0.06286415976663014,72.17857142857143,7,282,105.0929231050906,11044.522486772488,71.17857142857143,6,281,105.0929231050906,11044.522486772488,68.10714285714286,2,277,104.53365195732133,10927.284391534391,1913498.2,2626479.855841407,5061362.0,278.0,44602186.0,21948585.00410991,55498556.0,5389170.0,1,11,28,MASTER,1,129,0,0,0,13,15,REPLAY
8,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  19:07:57 ,239601382.0,17,23,190,173,139,3303,3280,3188,17,8,11.176470588235292,4.4333296476470005,16,7,10.176470588235292,4.4333296476470005,14,5,8.176470588235292,4.4333296476470005,654,7,143.6086956521739,163.1980779550462,653,6,142.6086956521739,163.1980779550462,649,2,138.6086956521739,163.1980779550462,14.5783800195276,14.411436074271053,13.885562646712946,0.1669439452565428,6143625.179487179,10252865.014890593,36753650.0,97.0,239601285.0,14975080.3125,11383948.71061466,36962517.0,2011132.0,239600859.0,10890948.136363637,12212784.515285796,36754208.0,491.0,170,17,34,230,23,92,0.07095117673403069,0.09599276852251212,87.325,7,654,139.3842479971951,19427.968589743592,86.325,6,653,139.3842479971951,19427.968589743592,83.175,2,649,138.91076041464305,19296.19935897436,957841.8461538459,2044734.5831458927,6611357.0,242.0,17472972.384615384,11010496.029335007,36753650.0,6657443.0,1,11,40,MASTER,1,129,0,0,0,17,23,REPLAY
9,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  19:12:14 ,225062369.0,24,26,264,240,192,2863,2837,2733,35,8,11.0,6.317677063467305,34,7,10.0,6.317677063467305,32,5,8.0,6.317677063467305,468,7,110.1153846153846,135.20335111914258,467,6,109.1153846153846,135.20335111914258,463,2,105.1153846153846,135.20335111914258,13.893926443118529,13.671765802838411,12.996397456386855,0.2221606402801172,4593109.571428572,8769039.513385383,35001661.0,230.0,225062369.0,9785320.391304348,10708380.162628094,35002026.0,1039538.0,216982246.0,8679289.84,10917291.867230214,35002216.0,444.0,240,24,48,260,26,104,0.10663710733445626,0.11552353294566095,62.54,7,468,108.84537056704592,11847.314693877548,61.54,6,467,108.84537056704592,11847.314693877548,58.5,2,463,108.38522566686449,11747.357142857143,1935699.75,3794587.144899192,13236447.0,274.0,16819497.666666668,10756999.298465133,35001661.0,5239842.0,1,11,50,MASTER,1,129,0,0,0,24,26,REPLAY
