,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:35:01 PM,118035613,46,35,846.0,1501.0,27.0,18.0,18.39130434782609,1.8556611384812591,292.0,17.0,42.885714285714286,73.8060938933793,19.883829467637025,0.6862335691855983,1475445.1624999994,2356942.598068546,12840100.0,246.0,116031682.0,2578481.8222222207,2801157.4198943703,14217792.0,578.0,118035613.0,3471635.676470587,4863767.827743997,26197243.0,348.0,0,1,0,0,1472,1120,0.3897128911424385,0.2965206780431597,17.0,292.0,28.84146341463415,49.36747305020627,2437.1473953628424,0,0,0,1,1,0,0,0,0.0,29.19753086419753,18.391304347826086,42.885714285714286,0,0,0,0,0,0,46,846,35,1501,-1,227,46,0,12098268.6,14392993.275080996,36903245.0,1953424.0,8825544.4,3301058.1207271707,12840100.0,5344340.0,REPLAY
1,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:37:01 PM,99604570,18,19,351.0,1690.0,27.0,18.0,19.5,3.451342449813168,664.0,17.0,88.94736842105263,166.67815749861919,20.49102767071832,0.3714688994691709,2766793.6111111115,4313908.281234727,16603670.0,266.0,96998333.0,5705784.294117647,4803220.181473216,16603670.0,682540.0,99604570.0,5533587.222222223,6190120.396656096,21264136.0,340.0,0,1,0,0,576,608,0.18071459974175885,0.19075429972741206,17.0,664.0,54.18421052631579,121.49916143925013,14762.046230440965,0,0,0,1,1,0,0,0,1.0,55.64864864864865,19.5,88.94736842105263,0,0,0,0,0,0,18,351,19,1690,-1,227,18,0,2480170.428571428,4019509.5038133217,10687978.0,293.0,9959769.375,3482352.2987246886,16603670.0,5396585.0,REPLAY
2,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:39:04 PM,108813713,5,7,108.0,1008.0,27.0,18.0,21.6,4.929503017546495,292.0,17.0,144.0,126.14145498870172,10.256060281666887,0.11028021808243964,9892155.727272727,15317248.409828493,41842390.0,367.0,102865731.0,25716432.75,15842926.223044556,41842390.0,4816757.0,108813713.0,18135618.833333336,20818796.51392489,46659409.0,402.0,0,1,0,0,160,224,0.04595009086768319,0.06433012721475646,17.0,292.0,87.23076923076924,109.71793673336023,12038.025641025639,0,0,0,1,1,0,0,0,1.0,94.5,21.6,144.0,0,0,0,0,0,0,5,108,7,1008,-1,227,5,0,3203800.666666666,2773613.318887897,4816757.0,1136.0,32682612.66666667,9236363.622226518,41842390.0,23371522.0,REPLAY
3,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:41:10 PM,71799991,4,8,117.0,1946.0,45.0,18.0,29.25,11.324751652906125,495.0,17.0,243.25,137.07636036687205,28.73259413082656,0.16713094016961644,6527271.909090909,15664069.697557595,52181604.0,19.0,71798200.0,23932733.33333333,24546121.995312054,52182975.0,7818897.0,71799991.0,10257141.57142857,19086995.24355972,52181856.0,525.0,0,1,0,0,128,256,0.05571031338987215,0.11142062677974428,17.0,495.0,181.15384615384616,149.26142957567558,22278.97435897436,0,0,0,1,1,0,0,0,2.0,196.25,29.25,243.25,0,0,0,0,0,0,4,117,8,1946,-1,227,4,0,13687.333333333332,22308.61475603838,39439.0,252.0,23919214.66666667,24555048.89044838,52181604.0,7818645.0,REPLAY
4,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:43:12 PM,100857515,6,12,153.0,2442.0,27.0,18.0,25.5,3.6742346141747673,478.0,17.0,203.5,138.78662497779558,25.72936682011251,0.17846959644008678,5932794.999999999,9047064.919801723,28280196.0,314.0,95906024.0,19181204.8,13913723.8276961,40033941.0,7991463.0,100857515.0,9168865.0,10469283.567903718,28280746.0,314.0,0,1,0,0,192,384,0.05948986548002892,0.11897973096005784,17.0,478.0,137.5263157894737,140.19088907670485,19653.485380116967,0,0,0,1,1,0,0,0,2.0,145.16666666666666,25.5,203.5,0,0,0,0,0,0,6,153,12,2442,-1,227,6,0,1762499.4,1938462.7873716843,4950386.0,26364.0,15340652.166666668,9647668.805781247,28280196.0,6349187.0,REPLAY
5,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:45:20 PM,112190657,17,22,333.0,1707.0,27.0,18.0,19.58823529411765,3.5365736159701915,292.0,17.0,77.5909090909091,105.06037225415594,18.18333232507944,0.3476225297441657,2952385.7105263155,6256347.183766902,26830391.0,220.0,85042457.0,5315153.562499999,6429876.224609937,26127850.0,1771208.0,112190657.0,5342412.238095239,7725386.318473556,26830927.0,278.0,0,1,0,0,544,704,0.15152776937566198,0.19609476036850376,17.0,292.0,51.45,82.49349624714011,6805.176923076922,0,0,0,1,1,0,0,0,1.0,52.769230769230774,19.58823529411765,77.5909090909091,0,0,0,0,0,0,17,333,22,1707,-1,235,17,0,6095442.0,6746124.775965199,14364536.0,278.0,16279183.2,9660949.367535144,26830391.0,5656582.0,REPLAY
6,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:47:23 PM,119913991,33,35,612.0,1944.0,27.0,18.0,18.54545454545454,2.180752580689019,292.0,17.0,55.542857142857144,88.55019940760185,21.3152775475549,0.5670731115937923,1789761.0597014925,2908724.14557756,12963408.0,211.0,114939028.0,3591844.6249999986,3291676.7898954917,12963408.0,751247.0,119913991.0,3526882.088235293,3733478.94389334,16994297.0,638.0,0,1,0,0,1056,1120,0.2751972453322816,0.29187586626151074,17.0,292.0,37.28985507246377,65.35178593564743,4270.855924978686,0,0,0,1,1,0,0,0,1.0,37.838235294117645,18.545454545454547,55.542857142857144,0,0,0,0,0,0,33,612,35,1944,-1,243,33,0,4979007.857142857,5283092.485056407,11840031.0,225.0,9182066.142857144,2804221.081939476,12963408.0,5999999.0,REPLAY
7,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:49:25 PM,119489194,31,35,657.0,2867.0,72.0,18.0,21.193548387096776,10.787089056950474,664.0,17.0,81.91428571428571,139.88889949413664,29.492206634183173,0.5523512025698324,1838295.2923076928,3215181.264580883,15409370.0,25.0,113684275.0,3789475.833333335,4897677.553287892,24444299.0,901.0,119489194.0,3514388.0588235287,5545651.29228981,29347388.0,258.0,0,1,0,0,992,1120,0.25943768605552736,0.2929135165143051,17.0,664.0,52.86567164179104,105.21837256354448,11070.905924920851,0,0,0,1,1,0,0,0,1.0,53.66666666666666,21.193548387096776,81.91428571428571,0,0,0,0,0,0,31,657,35,2867,-1,252,31,0,3226065.2,3325998.725589308,7899196.0,258.0,9164410.999999998,3702845.1654510973,15409370.0,5035780.0,REPLAY
8,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:51:32 PM,113231148,33,34,666.0,2372.0,72.0,18.0,20.18181818181818,9.553973471331656,478.0,17.0,69.76470588235293,114.20610258691386,26.83007329396678,0.5917099771875491,1715623.4545454544,2769083.48591894,12033595.0,220.0,108177389.0,3380543.40625,3163041.399763136,12033933.0,645.0,113231148.0,3431246.909090909,3913223.817211666,15696683.0,357.0,0,1,0,0,1056,1088,0.29143924249536,0.3002707346921891,17.0,478.0,44.94117647058822,84.22143562948081,7093.25021949078,0,0,0,1,1,0,0,0,1.0,45.61194029850746,20.181818181818183,69.76470588235293,0,0,0,0,0,0,33,666,34,2372,-1,252,33,0,4097380.375,6773057.112301166,16067547.0,306.0,7827417.666666668,2378065.841501397,12033595.0,5042275.0,REPLAY
9,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:53:33 PM,107871190,18,17,360.0,2100.0,27.0,18.0,20.000000000000004,3.850133687518487,495.0,17.0,123.52941176470587,147.50386335917563,22.804976935917736,0.32446105396630925,3172682.05882353,4439856.752693444,16394567.0,225.0,106313679.0,6253745.823529412,5048311.600631185,16394792.0,32598.0,107871190.0,6741949.375,6710815.12425413,18760051.0,395.0,0,1,0,0,600,544,0.16686568489695905,0.1575953690693502,17.0,495.0,68.83333333333333,112.72431604836387,12706.771428571428,0,0,0,1,1,0,0,0,0.0,70.8,20.0,123.52941176470587,0,0,0,0,0,0,18,360,17,2100,-1,252,18,0,2384996.142857143,4756076.898792023,12794545.0,527.0,9032892.3,3854057.6196748815,16394567.0,5069448.0,REPLAY
10,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:55:53 PM,84976029,8,10,171.0,1119.0,45.0,18.0,21.375,9.545941546018392,512.0,17.0,111.9,169.72228950716982,15.18075173882272,0.2118244428672938,4998589.94117647,6555364.728732124,20964580.0,243.0,64009842.0,9144263.142857142,7215993.2978106225,21999895.0,892748.0,84976029.0,9441781.0,8470632.679853555,22885339.0,619.0,0,1,0,0,256,320,0.09414419682990836,0.11768024603738544,17.0,512.0,69.3157894736842,128.71158655932993,16566.67251461988,0,0,0,1,1,0,0,0,1.0,73.16666666666667,21.375,111.9,0,0,0,0,0,0,8,171,10,1119,-1,252,8,0,300023.6666666666,463942.686666216,905151.0,243.0,11882223.0,4516630.323130213,20964580.0,8069431.0,REPLAY
11,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:57:54 PM,115940327,11,16,216.0,1614.0,27.0,18.0,19.63636363636364,3.640679257301507,292.0,17.0,100.875,115.49826838528791,15.783981702932406,0.2328784185678552,4459243.346153847,9042534.598167954,42969850.0,283.0,102972086.0,10297208.6,12661656.063853675,42970133.0,309897.0,115940327.0,7729355.133333333,10907305.910169033,42970526.0,590.0,0,1,0,0,352,512,0.09487639274986692,0.13800202581798826,17.0,292.0,66.32142857142857,95.22956807063987,9068.670634920634,0,0,0,1,1,0,0,0,1.0,68.77777777777777,19.63636363636364,100.875,0,0,0,0,0,0,11,216,16,1614,-1,252,11,0,717247.4285714284,1494148.0249966152,4002474.0,283.0,13864226.5,12040985.599449348,42969850.0,5046966.0,REPLAY
12,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 07:00:04 PM,117756877,5,7,108.0,1025.0,27.0,18.0,21.6,4.929503017546495,478.0,17.0,146.42857142857144,182.32101464436943,9.621518750025952,0.10190487643452023,10705170.636363637,20533523.79142034,59151254.0,355.0,74021022.0,18505255.5,27860344.496531043,59739660.0,508372.0,117756877.0,19626146.166666668,25189046.653638866,59151637.0,388.0,0,1,0,0,160,224,0.042460365181050105,0.05944451125347015,17.0,478.0,88.53846153846153,144.44757721783554,20865.102564102563,0,0,0,1,1,0,0,0,1.0,95.91666666666669,21.6,146.42857142857142,0,0,0,0,0,0,5,108,7,1025,-1,252,5,0,1278089.6666666665,2213048.5337105314,3833498.0,383.0,37723403.66666666,24485101.65058892,59151254.0,11035887.0,REPLAY
13,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 07:02:19 PM,94658527,6,10,126.0,1973.0,27.0,18.0,21.0,4.6475800154489,478.0,17.0,197.3,149.10775372938264,22.174441822869266,0.16902861799233362,6310568.466666668,11235759.562039336,37004371.0,297.0,81994491.0,16398898.2,15074835.596349426,37004371.0,957926.0,93700903.0,10411211.444444444,13893127.306520002,39109847.0,297.0,0,1,0,0,192,320,0.06338573174712511,0.10564288624520853,17.0,478.0,125.05882352941174,142.95518117063617,20436.183823529413,0,0,0,1,1,0,0,0,1.0,132.875,21.0,197.3,0,0,0,0,0,0,6,126,10,1973,-1,260,6,0,970850.5,926536.1210805546,2105133.0,1276.0,22454299.75,10656768.870811496,37004371.0,11366167.0,REPLAY
14,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 07:04:32 PM,102434506,6,11,162.0,2451.0,45.0,18.0,27.0,9.85900603509299,478.0,17.0,222.8181818181818,130.1643716089915,25.508982295477658,0.16595970111868358,6402156.625000003,11877708.596116675,43519215.0,168.0,81356483.0,16271296.6,15870355.544657664,43519215.0,5041207.0,102434506.0,10243450.599999998,16145570.094061868,48978738.0,465.0,0,1,0,0,192,352,0.05857401215953537,0.1073856889591482,17.0,478.0,146.66666666666666,140.15621536657713,19643.764705882357,0,0,0,1,1,0,0,0,1.0,155.2941176470588,27.0,222.8181818181818,0,0,0,0,0,0,6,162,11,2451,-1,260,6,0,1262660.0,2519033.70685957,5041207.0,465.0,19476515.8,14603281.19372736,43519215.0,5458901.0,REPLAY
15,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 07:07:02 PM,119117940,23,24,432.0,1297.0,27.0,18.0,18.78260869565217,2.592936589680273,292.0,17.0,54.04166666666666,87.33816296525205,14.515026032182893,0.3945669308921897,2589520.4347826084,6322790.684057794,39996734.0,247.0,106186999.0,4826681.7727272725,8245833.671594463,39998007.0,792.0,118069432.0,5133453.56521739,8349723.434795767,39997109.0,459.0,0,1,0,0,736,768,0.19308594490468856,0.2014809859875011,17.0,292.0,36.39583333333335,63.67094249686993,4053.9889184397166,0,0,0,1,1,0,0,0,1.0,37.17021276595744,18.782608695652176,54.04166666666666,0,0,0,0,0,0,23,432,24,1297,-1,260,23,0,5180037.166666667,8156898.045705326,21058851.0,387.0,13831018.166666664,13038723.149694182,39996734.0,6008388.0,REPLAY
16,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 07:09:02 PM,114045200,19,18,360.0,1195.0,27.0,18.0,18.94736842105263,2.8377159087807526,292.0,17.0,66.3888888888889,98.3589697389342,13.634944741207875,0.3244327687618593,3167922.2222222225,6668838.197950543,37013169.0,273.0,112043878.0,6224659.888888889,8459113.855107505,37013169.0,137840.0,114045200.0,6708541.176470589,10217403.343471523,41177026.0,452.0,0,1,0,0,608,576,0.16660061098581966,0.15783215777603968,17.0,292.0,41.39473684210526,70.89716171411989,5026.407539118067,0,0,0,1,1,0,0,0,0.0,42.51351351351352,18.94736842105263,66.3888888888889,0,0,0,0,0,0,19,360,18,1195,-1,260,19,0,5018753.166666667,4685902.481901791,11951341.0,354.0,13988716.833333336,11457233.986931356,37013169.0,8038190.0,REPLAY
17,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 07:11:15 PM,118011359,23,27,459.0,1801.0,45.0,18.0,19.956521739130434,6.041359426107258,292.0,17.0,66.7037037037037,97.26166721186672,19.15069887467358,0.42368802820074297,2408395.0816326533,5958852.935921611,38135826.0,112.0,79873932.0,3630633.272727273,3427529.6167386207,12119883.0,8098.0,118011359.0,4538898.423076923,8469099.155348271,38136148.0,373.0,0,1,0,0,736,864,0.19489649297234174,0.2287915352284012,17.0,292.0,44.84313725490196,74.05737574314111,5484.494901960785,0,0,0,1,1,0,0,0,1.0,45.74,19.956521739130434,66.70370370370371,0,0,0,0,0,0,23,459,27,1801,-1,269,23,0,2796670.0,4102394.644856148,10639604.0,1302.0,11903522.0,10788530.490591887,38135826.0,5150073.0,REPLAY
18,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 07:13:15 PM,112044531,16,20,351.0,1707.0,72.0,18.0,21.9375,13.537448060842193,664.0,17.0,85.35,163.02833948023948,18.367697036457766,0.3213008227951795,3201272.3142857137,5873278.379035825,25766670.0,158.0,110043308.0,7336220.533333332,7185997.641108028,25812944.0,986.0,112044531.0,5897080.578947369,7067238.235295684,25766933.0,426.0,0,1,0,0,512,640,0.14280036568674645,0.17850045710843307,17.0,664.0,56.1081081081081,123.03698264789776,15138.099099099096,0,0,0,1,1,0,0,0,1.0,57.66666666666666,21.9375,85.35,0,0,0,0,0,0,16,351,20,1707,-1,269,16,0,1510435.75,2125131.4135644645,6007128.0,283.0,12495097.75,6099612.983381364,25766670.0,5949297.0,REPLAY
19,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 07:15:15 PM,107522890,4,8,90.0,1486.0,27.0,18.0,22.5,5.196152422706632,292.0,17.0,185.75,113.88057654528149,14.657344124585936,0.11160414308060357,9774808.181818182,20874595.75846167,66064513.0,89.0,68033727.0,22677909.0,37587821.24237287,66065732.0,678.0,107522890.0,15360412.857142858,25023291.585363384,66064848.0,569.0,0,1,0,0,128,256,0.03720138102686786,0.07440276205373572,17.0,292.0,122.61538461538464,120.34224698856346,14482.256410256412,0,0,0,1,1,0,0,0,2.0,132.83333333333334,22.5,185.75,0,0,0,0,0,0,4,90,8,1486,-1,269,4,0,984774.5,1392207.6922357886,1969214.0,335.0,35115736.333333336,29199721.95420582,66064513.0,8054559.0,REPLAY
20,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 07:17:16 PM,117312607,26,29,486.0,2774.0,27.0,18.0,18.69230769230769,2.4457183937523266,664.0,17.0,95.65517241379308,150.41781711098426,27.78899969378398,0.4688328169196683,2172455.6851851856,4206643.536924452,20016959.0,50.0,99127549.0,3965101.96,4603211.512204139,20017305.0,28900.0,117312607.0,4189735.9642857146,5211751.60250451,20017266.0,403.0,0,1,0,0,832,928,0.2216300589074796,0.24720275801218874,17.0,664.0,58.69642857142857,114.08846960190105,13016.178896103898,0,0,0,1,1,0,0,0,1.0,59.76363636363637,18.69230769230769,95.65517241379312,0,0,0,0,0,0,26,486,29,2774,-1,277,26,0,5052730.142857143,8410310.816403188,20034500.0,307.0,11686009.714285715,5238187.650481819,20016959.0,5792673.0,REPLAY
21,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 07:19:28 PM,115996455,11,13,225.0,1571.0,27.0,18.0,20.454545454545453,4.203894298472224,478.0,17.0,120.84615384615385,152.94380566831626,15.483231793592315,0.20690287474733604,5043324.130434782,9116492.797535244,33253033.0,228.0,110953979.0,11095397.9,11482537.485738145,33253033.0,2000823.0,115996455.0,9666371.25,12389157.121832926,38294924.0,386.0,0,1,0,0,364,416,0.09483048425919567,0.11207239048814037,17.0,478.0,72.56,119.72714813274388,14334.589999999998,0,0,0,1,1,0,0,0,1.0,75.58333333333333,20.454545454545453,120.84615384615385,0,0,0,0,0,0,11,225,13,1571,-1,277,11,0,2101419.333333333,1822264.3943800984,4041814.0,303.0,14769644.57142857,11934197.508120194,33253033.0,5041663.0,REPLAY
