,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:20:00 ,44118294.0,23,23,184,161,115,161,138,46,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,7.819885329201533,6.7772339519746625,3.6492798202940486,1.0426513772268708,980406.5333333331,1013573.9922604116,2080358.0,181.0,44118013.0,2005364.2272727275,17332.065501980283,2080701.0,1999986.0,44118050.0,2005365.9090909087,17315.94158134304,2080608.0,1999969.0,230,23,46,230,23,92,0.5213256886134355,0.5213256886134355,7.5,7,8,0.5055250296034367,0.25555555555555554,6.5,6,7,0.5055250296034367,0.25555555555555554,3.5,2,5,1.51657508881031,2.3,0,0,0,0,0,0,0,0,3,12,46,MASTER,1,129,0,0,0,23,23,STOP_APP
1,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:20:01 ,44022350.0,23,23,184,161,115,161,138,46,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,7.836928287563023,6.792004515887952,3.657233200862744,1.0449237716750694,978274.4444444444,1011286.5579903101,2001019.0,187.0,44022080.0,2001003.6363636362,141.64763304782738,2001256.0,2000716.0,44022114.0,2001005.1818181816,150.73712102093384,2001329.0,2000742.0,230,23,46,230,23,92,0.5224618858375347,0.5224618858375347,7.5,7,8,0.5055250296034367,0.25555555555555554,6.5,6,7,0.5055250296034367,0.25555555555555554,3.5,2,5,1.51657508881031,2.3,0,0,0,0,0,0,0,0,1,12,46,MASTER,1,129,0,0,0,23,23,NORMAL
2,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:20:46 ,44382174.0,25,24,209,184,134,168,144,48,17,8,8.36,1.8,16,7,7.36,1.8,14,5,5.36,1.8,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8.494401378355192,7.390354514855447,4.100745492999058,1.1040468634997465,924628.625,1001246.9289340236,2064690.0,172.0,44381959.0,1849248.291666667,515198.13167552795,2064995.0,145868.0,44381906.0,1929648.0869565215,392775.29647727375,2234486.0,145826.0,250,25,50,240,24,96,0.5632892160712992,0.5407576474284473,7.693877551020408,7,17,1.4463183379511844,2.0918367346938767,6.6938775510204085,6,16,1.4463183379511844,2.0918367346938767,3.7142857142857135,2,14,2.1213203435596424,4.5,0,0,0,0,0,0,0,0,3,12,49,MASTER,1,129,0,0,0,25,24,STOP_APP
3,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:20:47 ,44116036.0,24,25,201,177,129,619,594,494,17,8,8.375,1.837117307087384,16,7,7.375,1.837117307087384,14,5,5.375,1.837117307087384,282,7,24.76,63.34448147497408,281,6,23.76,63.34448147497408,277,2,19.76,63.34448147497408,18.587345426955405,17.476638200222702,14.121849025601485,1.110707226732701,919084.0833333335,1005611.9618006684,2001150.0,136.0,44115813.0,1918078.8260869563,397689.77795028896,2001386.0,93750.0,44115531.0,1838147.125,551927.77630445,2001330.0,534.0,240,24,48,250,25,100,0.5440198661547924,0.5666873605779087,16.73469387755102,7,282,45.56715534525392,2076.365646258503,15.734693877551019,6,281,45.56715534525392,2076.365646258503,12.714285714285715,2,277,45.39456648836583,2060.6666666666665,0,0,0,0,0,0,0,0,1,12,49,MASTER,1,129,0,0,0,24,25,NORMAL
4,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:21:32 ,44209410.0,24,25,201,177,129,619,594,494,17,8,8.375,1.837117307087384,16,7,7.375,1.837117307087384,14,5,5.375,1.837117307087384,282,7,24.76,63.34448147497408,281,6,23.76,63.34448147497408,277,2,19.76,63.34448147497408,18.548087386825568,17.439726067368916,14.092022490234545,1.1083613194566495,921029.375,994536.6652458014,2083692.0,186.0,44209010.0,1922130.8695652173,320205.1883054909,2083968.0,562021.0,44209054.0,1842043.916666667,502009.0187893231,2083993.0,347.0,240,24,48,250,25,100,0.5428708503461142,0.5654904691105356,16.73469387755102,7,282,45.56715534525392,2076.365646258503,15.734693877551019,6,281,45.56715534525392,2076.365646258503,12.714285714285715,2,277,45.39456648836583,2060.6666666666665,0,0,0,0,0,0,0,0,3,12,49,MASTER,1,129,0,0,0,24,25,STOP_APP
5,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:21:33 ,44022187.0,24,25,201,177,129,619,594,494,17,8,8.375,1.837117307087384,16,7,7.375,1.837117307087384,14,5,5.375,1.837117307087384,282,7,24.76,63.34448147497408,281,6,23.76,63.34448147497408,277,2,19.76,63.34448147497408,18.626970986243826,17.513895890724374,14.151954785890124,1.1130750955194482,917128.8958333335,1002516.608904136,2001162.0,105.0,44022027.0,1914001.1739130437,391483.9670724545,2001267.0,121945.0,44021957.0,1834248.208333333,547053.9912933625,2001438.0,532.0,240,24,48,250,25,100,0.5451796386217704,0.5678954568976775,16.73469387755102,7,282,45.56715534525392,2076.365646258503,15.734693877551019,6,281,45.56715534525392,2076.365646258503,12.714285714285715,2,277,45.39456648836583,2060.6666666666665,0,0,0,0,0,0,0,0,1,12,49,MASTER,1,129,0,0,0,24,25,NORMAL
6,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:22:19 ,44193414.0,24,25,201,177,129,619,594,494,17,8,8.375,1.837117307087384,16,7,7.375,1.837117307087384,14,5,5.375,1.837117307087384,282,7,24.76,63.34448147497408,281,6,23.76,63.34448147497408,277,2,19.76,63.34448147497408,18.55480094839471,17.446038452697948,14.097123159573052,1.1087624956967572,920696.125,991085.4961178984,2077608.0,198.0,44193029.0,1921436.043478261,298916.1831058816,2078017.0,778998.0,44193125.0,1841380.208333333,489157.95077459206,2077920.0,498.0,240,24,48,250,25,100,0.5430673448310647,0.5656951508656923,16.73469387755102,7,282,45.56715534525392,2076.365646258504,15.734693877551019,6,281,45.56715534525392,2076.365646258504,12.714285714285715,2,277,45.39456648836584,2060.666666666667,0,0,0,0,0,0,0,0,3,12,49,MASTER,1,129,0,0,0,24,25,STOP_APP
7,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:22:19 ,44021386.0,24,25,201,177,129,619,594,494,17,8,8.375,1.837117307087384,16,7,7.375,1.837117307087384,14,5,5.375,1.837117307087384,282,7,24.76,63.34448147497408,281,6,23.76,63.34448147497408,277,2,19.76,63.34448147497408,18.627309917048045,17.514214568346393,14.152212290635285,1.1130953487016515,917112.2083333335,1001469.1670106995,2001135.0,106.0,44021179.0,1913964.3043478262,385843.02643767576,2001292.0,149791.0,44021213.0,1834217.208333333,543213.4681873096,2001300.0,611.0,240,24,48,250,25,100,0.5451895585477476,0.5679057901539039,16.73469387755102,7,282,45.56715534525392,2076.365646258503,15.734693877551019,6,281,45.56715534525392,2076.365646258503,12.714285714285715,2,277,45.39456648836583,2060.6666666666665,0,0,0,0,0,0,0,0,1,12,49,MASTER,1,129,0,0,0,24,25,NORMAL
8,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:23:05 ,44117211.0,23,23,184,161,115,161,138,46,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,7.820077293643972,6.777400321158107,3.64936940370052,1.0426769724858629,980382.4666666669,1013515.2112020502,2069634.0,130.0,44116931.0,2005315.0454545454,15538.656004507175,2069896.0,2000007.0,44116833.0,2005310.5909090908,15539.895242826082,2069852.0,2000057.0,230,23,46,230,23,92,0.5213384862429314,0.5213384862429314,7.5,7,8,0.5055250296034367,0.25555555555555554,6.5,6,7,0.5055250296034367,0.25555555555555554,3.5,2,5,1.51657508881031,2.3,0,0,0,0,0,0,0,0,3,12,46,MASTER,1,129,0,0,0,23,23,STOP_APP
9,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:23:05 ,44022475.0,24,25,201,177,129,619,594,494,17,8,8.375,1.837117307087384,16,7,7.375,1.837117307087384,14,5,5.375,1.837117307087384,282,7,24.76,63.34448147497408,281,6,23.76,63.34448147497408,277,2,19.76,63.34448147497408,18.626849126497323,17.51378131284077,14.151862202204669,1.113067813656547,917134.8958333335,1000478.7262088688,2000990.0,113.0,44022145.0,1914006.3043478262,380221.6375078231,2001249.0,178116.0,44022223.0,1834259.291666667,539404.0321752436,2001296.0,785.0,240,24,48,250,25,100,0.5451760719950435,0.5678917416615036,16.73469387755102,7,282,45.56715534525392,2076.365646258504,15.734693877551019,6,281,45.56715534525392,2076.365646258504,12.714285714285715,2,277,45.39456648836583,2060.6666666666665,0,0,0,0,0,0,0,0,1,12,49,MASTER,1,129,0,0,0,24,25,NORMAL
