,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:20:00 ,118604165.0,63,63,522,459,333,885,822,570,17,8,8.285714285714286,1.59058288594172,16,7,7.2857142857142865,1.5905828859417204,14,5,5.285714285714286,1.5905828859417204,282,7,14.047619047619047,40.3726306890666,281,6,13.047619047619047,40.3726306890666,277,2,9.047619047619047,40.3726306890666,11.8629898030984,10.800632507298543,7.613560619898973,1.0623572957998566,948833.32,995400.1819895515,2080358.0,172.0,118603977.0,1912967.3709677416,374941.50553155615,2080701.0,145868.0,118603921.0,1912966.4677419355,393240.2065990825,2234486.0,347.0,630,63,126,630,63,252,0.5311786478999283,0.5311786478999283,11.166666666666664,7,282,28.602027900133233,818.0759999999998,10.166666666666666,6,281,28.602027900133233,818.0759999999998,7.166666666666668,2,277,28.517994319376665,813.2759999999995,0,0,0,0,0,0,0,0,3,12,126,MASTER,1,129,0,0,0,63,63,STOP_APP
1,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:20:01 ,118059333.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.670086836760293,14.602826868418779,11.384106328976126,1.0672599683415118,944474.6640000001,999424.1914328112,2001150.0,136.0,118059143.0,1935395.786885246,339845.0816732096,2001386.0,93750.0,118059097.0,1873953.920634921,478325.1780004256,2001330.0,532.0,620,62,124,640,64,256,0.5251596669616964,0.5421003013798156,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,12,126,MASTER,1,129,0,0,0,62,64,NORMAL
2,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:22:01 ,118421949.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.622103973309882,14.558112027019586,11.349247427096474,1.0639919462902945,947375.5920000001,990065.9728101549,2083692.0,130.0,118421720.0,1941339.6721311475,255260.1431329564,2083968.0,778998.0,118421590.0,1879707.7777777775,425142.8845047822,2083993.0,461.0,620,62,124,640,64,256,0.5235515926190338,0.5404403536712608,14.682539682539682,7,282,40.11935209719137,1609.5624126984135,13.682539682539682,6,281,40.11935209719137,1609.5624126984135,10.666666666666666,2,277,39.973591282245344,1597.8880000000006,0,0,0,0,0,0,0,0,3,12,126,MASTER,1,129,0,0,0,62,64,STOP_APP
3,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:22:01 ,118058468.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.670201649575871,14.602933861550698,11.38418973893512,1.0672677880251673,944467.7440000001,997880.7219597772,2001162.0,105.0,118058171.0,1935379.8524590163,330186.28552388604,2001292.0,149791.0,118058188.0,1873939.4920634918,471726.8282219602,2001438.0,611.0,620,62,124,640,64,256,0.5251635147425426,0.5421042732826247,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,12,126,MASTER,1,129,0,0,0,62,64,NORMAL
4,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:24:01 ,118060301.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.66995835458695,14.60270713692319,11.384012988413437,1.06725121766376,944482.4079999999,996328.2645794936,2001439.0,151.0,118059984.0,1935409.5737704919,320780.31626215565,2001690.0,206878.0,118060013.0,1873968.4603174604,465410.4984820919,2001731.0,520.0,620,62,124,640,64,256,0.5251553610726437,0.5420958565911161,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,12,126,MASTER,1,129,0,0,0,62,64,NORMAL
5,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:24:01 ,118134231.0,62,63,514,452,328,885,822,570,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,14.047619047619047,40.3726306890666,281,6,13.047619047619047,40.3726306890666,277,2,9.047619047619047,40.3726306890666,11.842460802068453,10.784342431619164,7.6015223733076995,1.05811837044929,952695.4112903223,987527.6540456859,2068658.0,122.0,118133971.0,1936622.475409836,250615.47464117262,2068938.0,933098.0,118134056.0,1905388.0,349646.3527816005,2068903.0,492.0,620,62,124,630,63,252,0.5248267117428479,0.5332916587064421,11.192,7,282,28.715707739279942,824.5918709677417,10.192,6,281,28.715707739279942,824.5918709677417,7.184,2,277,28.632088923601646,819.7965161290323,0,0,0,0,0,0,0,0,3,12,125,MASTER,1,129,0,0,0,62,63,STOP_APP
6,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:26:01 ,118058030.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.670259786648991,14.602988039017761,11.384231974733105,1.0672717476312286,944464.24,994912.7702334286,2001091.0,201.0,118057652.0,1935371.3442622954,311925.0400649642,2001365.0,263045.0,118057707.0,1873931.8571428568,459522.3452776933,2001354.0,504.0,620,62,124,640,64,256,0.5251654631201282,0.5421062845111002,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,12,126,MASTER,1,129,0,0,0,62,64,NORMAL
7,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:26:01 ,118354255.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.631039205138846,14.566438697113172,11.35573875227384,1.0646005080256726,946834.04,990508.5916074386,2201478.0,149.0,118353939.0,1940228.5081967213,262994.26995561604,2201817.0,625082.0,118354057.0,1878635.8253968253,429501.9698911804,2201805.0,460.0,620,62,124,640,64,256,0.5238510436316802,0.5407494643939924,14.682539682539682,7,282,40.11935209719137,1609.5624126984135,13.682539682539682,6,281,40.11935209719137,1609.5624126984135,10.666666666666666,2,277,39.973591282245344,1597.8880000000006,0,0,0,0,0,0,0,0,3,12,126,MASTER,1,129,0,0,0,62,64,STOP_APP
8,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:28:01 ,118060554.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.669924774366212,14.602675843787758,11.38398859283686,1.0672489305784556,944484.432,993669.6757481293,2001329.0,200.0,118060268.0,1935414.229508197,303392.03676790826,2001832.0,318895.0,118060225.0,1873971.8253968253,453963.86299204774,2001615.0,536.0,620,62,124,640,64,256,0.5251542356814622,0.5420946948969932,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,12,126,MASTER,1,129,0,0,0,62,64,NORMAL
9,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:28:01 ,118441337.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.619546746588988,14.555728968172655,11.347389636440866,1.0638177784163312,947530.696,998130.7063947831,2088810.0,173.0,118441068.0,1941656.8524590163,312683.67551258765,2089079.0,184975.0,118441123.0,1880017.8253968253,460777.8984311884,2089140.0,423.0,620,62,124,640,64,256,0.5234658909667661,0.540351887449565,14.682539682539682,7,282,40.11935209719137,1609.5624126984135,13.682539682539682,6,281,40.11935209719137,1609.5624126984135,10.666666666666666,2,277,39.973591282245344,1597.8880000000006,0,0,0,0,0,0,0,0,3,12,126,MASTER,1,129,0,0,0,62,64,STOP_APP
