,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.10-45145-20000-6,192.168.1.2,45145,192.168.1.10,20000,6,15/05/2020 06:20:00 PM,118056726,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.3432682353058,1.0672835362213924,944453.8080000004,1000670.922452964,2001181.0,204.0,116055313.0,1934255.2166666675,350563.2069690285,2001485.0,50299.0,118056726.0,1844636.34375,534001.2796937053,2001527.0,287.0,0,1,0,0,1952,2080,0.5167007595992456,0.5505827766221469,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.10-192.168.1.11-20002-58689-6,192.168.1.11,58689,192.168.1.10,20002,6,15/05/2020 06:20:00 PM,118041318,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.88888987159564,1.1013092890067526,915048.9767441858,988504.1121927024,2000897.0,206.0,116040104.0,1871614.5806451614,443041.4797822629,2001215.0,30964.0,118041318.0,1788504.8181818174,582340.1594131654,2001253.0,436.0,0,1,0,0,2016,2144,0.5337114246725032,0.5675978643342494,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
2,192.168.1.1-192.168.1.10-55604-20001-6,192.168.1.1,55604,192.168.1.10,20001,6,15/05/2020 06:20:01 PM,118059196,64,68,1161.0,2045.0,27.0,15.0,18.140625,1.7262417890567108,292.0,17.0,30.0735294117647,54.1901891700214,27.15586848482349,1.1180831690569872,901215.2366412212,979048.9418360349,2001774.0,201.0,116057725.0,1842186.111111111,462661.3398789488,2001994.0,58036.0,118059196.0,1762077.5522388057,590928.534688527,2002028.0,289.0,0,1,0,0,2048,2176,0.5421009304518727,0.5759822386051147,15.0,292.0,24.24060150375939,39.08734399062583,1527.8204602415128,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,COLD_RESTART
3,192.168.1.10-192.168.1.12-20003-55149-6,192.168.1.12,55149,192.168.1.10,20003,6,15/05/2020 06:20:01 PM,118057185,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.88527597875555,1.1011612719717143,915171.9767441858,987817.5219737772,2001744.0,195.0,116055907.0,1871869.467741936,439262.93835789344,2002031.0,62978.0,118057185.0,1788745.2272727268,579685.0592841121,2002051.0,323.0,0,1,0,0,2016,2144,0.5336396933401385,0.5675215786315758,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
4,192.168.1.2-192.168.1.10-45145-20000-6,192.168.1.2,45145,192.168.1.10,20000,6,15/05/2020 06:22:00 PM,118062293,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.342026069237875,1.0672332105221776,944498.3439999998,998990.1136293728,2001754.0,201.0,116060680.0,1934344.666666667,340085.3693137106,2001955.0,107883.0,118062293.0,1844723.328125,527633.5102400677,2002077.0,281.0,0,1,0,0,1952,2080,0.5166763955702606,0.550556814951917,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.10-192.168.1.11-20002-58689-6,192.168.1.11,58689,192.168.1.10,20002,6,15/05/2020 06:22:00 PM,118774976,66,70,1191.0,2079.0,27.0,15.0,18.045454545454547,1.7839611774131976,292.0,17.0,29.7,53.44409241902003,27.531051658558113,1.145022331976729,879814.6370370368,965310.4668596293,2001083.0,199.0,118000163.0,1815387.1230769237,478029.86602501187,2001372.0,80940.0,118774976.0,1721376.4637681162,606169.4548358468,2001527.0,415.0,0,1,0,0,2112,2240,0.5556726022828243,0.5893497296939045,15.0,292.0,24.0,38.53378960310639,1484.8529411764707,0,0,0,1,1,0,0,0,1.0,24.176470588235286,18.045454545454547,29.7,0,0,0,0,0,0,66,1191,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,COLD_RESTART
6,192.168.1.1-192.168.1.10-55604-20001-6,192.168.1.1,55604,192.168.1.10,20001,6,15/05/2020 06:22:01 PM,118060951,65,69,1176.0,2062.0,27.0,15.0,18.0923076923077,1.7564441789724357,292.0,17.0,29.884057971014485,53.813276360973155,27.42651124333227,1.1350069507740963,887676.3233082708,968640.4691551836,2001389.0,191.0,116059536.0,1813430.25,475679.4340902418,2001653.0,118540.0,118060951.0,1736190.455882353,595374.8062905212,2001645.0,340.0,0,1,0,0,2080,2208,0.5505630731366885,0.5844438776374078,15.0,292.0,24.11851851851852,38.80761039608732,1506.0306246545051,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
7,192.168.1.10-192.168.1.12-20003-55149-6,192.168.1.12,55149,192.168.1.10,20003,6,15/05/2020 06:22:02 PM,118056150,65,69,1176.0,2062.0,27.0,15.0,18.092307692307685,1.7564441789724359,292.0,17.0,29.88405797101449,53.813276360973155,27.427626599715477,1.1350531082031727,887640.2255639095,980672.338960605,2001227.0,152.0,116054995.0,1813359.296875,524881.8494320073,2001705.0,115752.0,118056150.0,1736119.8529411769,633058.4685560138,2001508.0,316.0,0,1,0,0,2080,2208,0.5505854629343748,0.5844676452687979,15.0,292.0,24.118518518518513,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
8,192.168.1.2-192.168.1.10-45145-20000-6,192.168.1.2,45145,192.168.1.10,20000,6,15/05/2020 06:24:00 PM,118059640,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.342618019163872,1.0672571930593724,944477.12,997402.935403617,2001337.0,182.0,116058771.0,1934312.85,330243.7852615223,2001574.0,165282.0,118059640.0,1844681.875,521870.81755173,2001639.0,276.0,0,1,0,0,1952,2080,0.5166880061636644,0.550569186895708,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.10-192.168.1.11-20002-58689-6,192.168.1.11,58689,192.168.1.10,20002,6,15/05/2020 06:24:00 PM,118036663,64,68,1161.0,2045.0,27.0,15.0,18.140625000000004,1.726241789056711,292.0,17.0,30.073529411764714,54.1901891700214,27.16105249434237,1.1182966092492803,901043.2290076334,980126.8002763691,2001432.0,210.0,116035439.0,1841832.3650793647,468265.20523590327,2001677.0,121992.0,118036663.0,1761741.2388059704,595026.618949028,2001737.0,361.0,0,1,0,0,2048,2176,0.5422044166057117,0.5760921926435687,15.0,292.0,24.240601503759397,39.08734399062583,1527.820460241513,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,COLD_RESTART
10,192.168.1.1-192.168.1.10-55604-20001-6,192.168.1.1,55604,192.168.1.10,20001,6,15/05/2020 06:24:01 PM,118060678,64,68,1161.0,2045.0,27.0,15.0,18.140625000000007,1.726241789056711,292.0,17.0,30.0735294117647,54.1901891700214,27.155527600815567,1.1180691339075657,901226.5496183204,977996.8497201522,2002224.0,211.0,116059425.0,1842213.0952380956,457898.27268988226,2002610.0,175672.0,118060678.0,1762099.6716417912,587436.5000003647,2002738.0,329.0,0,1,0,0,2048,2176,0.5420941255309409,0.5759750083766247,15.0,292.0,24.240601503759397,39.08734399062583,1527.820460241513,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,COLD_RESTART
11,192.168.1.10-192.168.1.12-20003-55149-6,192.168.1.12,55149,192.168.1.10,20003,6,15/05/2020 06:24:02 PM,118061261,65,69,1176.0,2062.0,27.0,15.0,18.09230769230769,1.7564441789724357,292.0,17.0,29.884057971014485,53.813276360973155,27.426439228020783,1.1350039705234047,887678.6541353387,974546.1789910605,2001322.0,206.0,117969607.0,1843275.109375,450385.9112566818,2001587.0,80011.0,118061261.0,1736195.0147058824,614025.2835596853,2001630.0,266.0,0,1,0,0,2080,2208,0.5505616274926963,0.5844423430307084,15.0,292.0,24.118518518518513,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
12,192.168.1.2-192.168.1.10-45145-20000-6,192.168.1.2,45145,192.168.1.10,20000,6,15/05/2020 06:26:00 PM,118061808,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.3421342827479,1.0672375947351238,944494.4640000005,996014.7841268152,2001518.0,185.0,116060649.0,1934344.15,321333.2172471977,2002317.0,218823.0,118061808.0,1844715.7500000002,516446.433134855,2001754.0,371.0,0,1,0,0,1952,2080,0.516678518086052,0.5505590766490718,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
13,192.168.1.10-192.168.1.11-20002-58689-6,192.168.1.11,58689,192.168.1.10,20002,6,15/05/2020 06:26:00 PM,118034159,65,69,1176.0,2062.0,27.0,15.0,18.092307692307685,1.7564441789724359,292.0,17.0,29.88405797101449,53.813276360973155,27.432736653802056,1.1352645804847052,887474.8796992485,973106.2334276786,2000960.0,200.0,116033007.0,1813015.734375,495221.8486574698,2001314.0,152953.0,118034159.0,1735796.455882353,610112.3573512011,2001279.0,328.0,0,1,0,0,2080,2208,0.5506880427724317,0.5845765377122736,15.0,292.0,24.11851851851852,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
14,192.168.1.1-192.168.1.10-55604-20001-6,192.168.1.1,55604,192.168.1.10,20001,6,15/05/2020 06:26:01 PM,118058854,65,69,1176.0,2062.0,27.0,15.0,18.092307692307696,1.7564441789724354,292.0,17.0,29.88405797101449,53.813276360973155,27.426998402000407,1.1350271111389918,887660.5563909777,969397.3594096176,2001455.0,196.0,116056870.0,1813388.59375,478872.7878092607,2001747.0,231341.0,118058854.0,1736159.6176470588,597784.1342362625,2001747.0,233.0,0,1,0,0,2080,2208,0.5505728524181677,0.5844542587208241,15.0,292.0,24.11851851851852,38.80761039608732,1506.0306246545051,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
15,192.168.1.10-192.168.1.12-20003-55149-6,192.168.1.12,55149,192.168.1.10,20003,6,15/05/2020 06:26:02 PM,118072157,65,69,1176.0,2062.0,27.0,15.0,18.092307692307685,1.7564441789724363,292.0,17.0,29.88405797101449,53.813276360973155,27.423908246209134,1.134899229460168,887760.5789473683,967450.9814632628,2002570.0,197.0,116070497.0,1813601.515625,470142.3868453077,2002842.0,25619.0,118072157.0,1736355.25,591264.8846799993,2002838.0,334.0,0,1,0,0,2080,2208,0.5505108202605293,0.5843884091996389,15.0,292.0,24.11851851851852,38.80761039608733,1506.0306246545056,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
