Unnamed: 0,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:35:01 ,88813586.0,13,10,104,91,65,87,77,37,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,24,7,8.7,5.375872022286245,23,6,7.7,5.375872022286245,19,2,3.7,5.375872022286245,2.1505718730915784,1.8916024852323832,1.1484729374625184,0.2589693878591953,4036981.1818181816,3555448.646724424,12840562.0,10531.0,72384127.0,6032010.583333332,3631303.838201506,12038056.0,10531.0,84803274.0,9422586.0,9655083.748660184,26197321.0,2004104.0,130,13,26,100,10,40,0.1463740018334582,0.1125953860257371,8.304347826086957,7,24,3.4566771039237247,11.948616600790512,7.304347826086956,6,23,3.4566771039237247,11.948616600790512,4.434782608695652,2,19,3.500988002842545,12.256916996047432,4042447.4285714286,5523942.28826644,14044809.0,0.0,8329391.714285715,3046026.532998562,12840562.0,5037105.0,1,13,23,MASTER,1,129,0,0,0,13,10,REPLAY
1,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:36:36 ,79259201.0,8,14,64,56,40,98,84,28,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,2.0439267360265214,1.7663564385414383,0.8579445558629842,0.2775702974850832,3774247.666666666,3912440.645620395,12670524.0,198416.0,79259201.0,11322743.0,4935671.303636585,20753751.0,5036358.0,59502587.0,4577122.076923077,6215623.537704235,21716495.0,414573.0,80,8,16,140,14,56,0.1009346536309393,0.1766356438541438,7.363636363636362,7,8,0.4923659639173309,0.2424242424242424,6.363636363636362,6,7,0.4923659639173309,0.2424242424242424,3.090909090909092,2,5,1.4770978917519928,2.1818181818181817,3896989.333333334,5989029.204533557,14180277.0,0.0,9312877.5,2465663.738749447,12670524.0,5036358.0,1,13,22,MASTER,1,129,0,0,0,8,14,REPLAY
2,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:38:17 ,41999868.0,3,2,33,30,24,936,934,926,17,8,11.0,5.196152422706632,16,7,10.0,5.196152422706632,14,5,8.0,5.196152422706632,654,282,468.0,263.0437226013957,653,281,467.0,263.0437226013957,649,277,463.0,263.0437226013957,23.071501081860543,22.95245308866209,22.619118707706413,0.1190479931984548,10499967.0,7867626.060620531,18423286.0,2564477.0,41999868.0,20999934.0,7098008.580228683,26018984.0,15980884.0,2564477.0,2564477.0,-1.0,2564477.0,2564477.0,30,3,6,20,2,8,0.0714287959190728,0.0476191972793819,193.8,8,654,282.7829556391262,79966.2,192.8,7,653,282.7829556391262,79966.2,190.0,5,649,281.8137682938858,79419.0,854825.6666666665,1480601.486280604,2564477.0,0.0,13145130.333333336,7132178.866557282,18423286.0,5031221.0,1,13,5,MASTER,1,0,0,0,0,3,2,REPLAY
3,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:40:01 ,49898721.0,4,1,50,46,38,7,6,2,17,8,12.5,5.196152422706632,16,7,11.5,5.196152422706632,14,5,9.5,5.196152422706632,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1.1423138480844028,1.042110878954192,0.8016237530416861,0.1002029691302107,12474680.25,13214679.04281428,31812810.0,3239500.0,49898721.0,16632907.0,13183226.38491424,31812810.0,8055349.0,0.0,0.0,0.0,0.0,0.0,40,4,8,10,1,4,0.0801623753041686,0.0200405938260421,11.4,7,17,5.128352561983234,26.3,10.4,6,16,5.128352561983234,26.3,8.0,2,14,5.612486080160912,31.5,4027674.5,5695991.9027242735,8055349.0,0.0,20921686.0,15402375.270287111,31812810.0,10030562.0,1,13,5,MASTER,1,129,0,0,0,4,1,REPLAY
4,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:42:05 ,84548811.0,5,3,58,53,43,465,462,450,17,8,11.6,4.9295030175464944,16,7,10.6,4.9295030175464944,14,5,8.6,4.9295030175464944,282,7,155.0,138.69751259485514,281,6,154.0,138.69751259485514,277,2,150.0,138.69751259485514,6.18577593007192,6.091156030567952,5.83095130693204,0.0946198995039681,12078401.57142857,22114713.891453706,62000105.0,676527.0,83872284.0,20968071.0,27437772.07230422,62000105.0,4835065.0,17461220.0,8730610.0,10024833.856217667,15819238.0,1641982.0,50,5,10,30,3,12,0.0591374371899801,0.035482462313988,65.375,7,282,104.96793728154736,11018.267857142857,64.375,6,281,104.96793728154736,11018.267857142857,61.625,2,277,104.23865131788416,10865.69642857143,3261536.0,5649146.062714966,9784608.0,0.0,24374073.66666667,32588540.10019351,62000105.0,5087486.0,1,13,8,MASTER,1,129,0,0,0,5,3,REPLAY
5,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:43:41 ,64000224.0,4,1,59,55,47,282,281,277,17,8,14.75,4.5,16,7,13.75,4.5,14,5,11.75,4.5,282,282,282.0,-1.0,281,281,281.0,-1.0,277,277,277.0,-1.0,5.328106351627769,5.249981625064311,5.0624822813120165,0.078124726563457,16000056.0,13507077.604355255,31962202.0,2247281.0,64000224.0,21333408.0,13222023.52336627,34209483.0,7790659.0,0.0,0.0,0.0,0.0,0.0,40,4,8,10,1,4,0.0624997812507656,0.0156249453126914,68.2,8,282,119.58135306142007,14299.7,67.2,7,281,119.58135306142007,14299.7,64.8,5,277,118.68740455499058,14086.7,749093.6666666665,1297468.2902947315,2247281.0,0.0,20584314.33333333,12147805.205661489,31962202.0,7790659.0,1,13,5,MASTER,1,129,0,0,0,4,1,REPLAY
6,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:45:11 ,87847165.0,3,9,24,21,15,507,498,462,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,282,7,56.33333333333334,101.41622158215124,281,6,55.33333333333334,101.41622158215124,277,2,51.33333333333334,101.41622158215124,6.04458891758203,5.907988038088652,5.429884959861823,0.1366008794933792,7986105.909090909,10567162.986646129,30124918.0,4735.0,85047079.0,42523539.5,47407882.92787731,76045975.0,9001104.0,78805266.0,9850658.25,12293779.570727546,30124918.0,4735.0,30,3,6,90,9,36,0.0341502198733448,0.1024506596200344,44.25,7,282,89.20775037670622,7958.022727272727,43.25,6,281,89.20775037670622,7958.022727272727,39.75,2,277,88.99042338670748,7919.295454545455,2512027.25,5020898.329486825,10043374.0,0.0,18749742.5,11313418.440461412,30124918.0,9001104.0,1,13,12,MASTER,1,129,0,0,0,3,9,REPLAY
7,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:46:43 ,71841504.0,3,7,21,18,6,101,94,80,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,35,8,14.428571428571429,10.014275524755364,34,7,13.428571428571429,10.014275524755364,32,5,11.428571428571429,10.014275524755364,1.698182710651492,1.5589874064997302,1.19707961570515,0.1391953041517616,7982389.333333332,7820279.965275669,27202362.0,1826605.0,64869566.0,32434783.0,43024487.68621537,62857690.0,2011876.0,68003023.0,11333837.166666664,8422753.563122772,27202362.0,2800679.0,30,3,12,70,7,14,0.0417585912455284,0.0974367129062331,12.2,7,35,8.929352346801718,79.73333333333333,11.2,6,34,8.929352346801718,79.73333333333333,8.6,2,32,9.359487165438072,87.59999999999998,1106526.666666667,1745355.646516511,3838481.0,0.0,10867057.333333334,8233292.668919226,27202362.0,5028166.0,13,1,10,OUTSTATION,1,129,0,0,0,7,3,REPLAY
8,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:48:27 ,89934154.0,8,14,82,74,58,1003,989,933,17,8,10.25,4.166190448976482,16,7,9.25,4.166190448976482,14,5,7.25,4.166190448976482,282,7,71.64285714285714,109.5112267815898,281,6,70.64285714285714,109.5112267815898,277,2,66.64285714285714,109.5112267815898,12.064382125616037,11.819758709244098,11.019172982935936,0.244623416371938,4282578.761904762,3892236.50654497,14001178.0,8764.0,89934154.0,12847736.285714284,10806690.018758392,34069885.0,2240673.0,71434134.0,5494933.384615385,8753731.292398874,30122855.0,8764.0,80,8,16,140,14,56,0.0889539695897956,0.1556694467821424,49.31818181818182,7,282,91.3430928207525,8343.560606060608,48.31818181818182,6,281,91.3430928207525,8343.560606060608,45.04545454545455,2,277,91.02196347859034,8284.997835497832,2314387.375,3487029.9534664964,10048372.0,0.0,8319515.5,3255349.308585793,14001178.0,5026042.0,1,13,22,MASTER,1,129,0,0,0,8,14,REPLAY
9,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:50:00 ,87021392.0,6,7,48,42,30,493,486,458,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,282,7,70.42857142857143,112.56384431787608,281,6,69.42857142857143,112.56384431787608,277,2,65.42857142857143,112.56384431787608,6.216862171085472,6.067473616142569,5.607816524010556,0.1493885549429041,7251782.666666668,9040337.252402652,28980346.0,9077.0,87021392.0,17404278.4,8353506.948816306,28980346.0,7232125.0,8028868.0,1338144.666666667,886257.9767328849,2009130.0,9077.0,60,6,12,70,7,28,0.0689485638198019,0.0804399911231022,41.615384615384606,7,282,85.9336356940037,7384.589743589745,40.615384615384606,6,281,85.9336356940037,7384.589743589745,37.53846153846154,2,277,85.54785735151933,7318.435897435898,2009069.8,4492416.6443419065,10045349.0,0.0,15395208.6,9031409.198356884,28980346.0,7232125.0,1,13,13,MASTER,1,129,0,0,0,6,7,REPLAY
