Unnamed: 0,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:35:01 ,115678504.0,20,16,223,203,163,2417,2401,2337,35,8,11.15,6.706438383335352,34,7,10.15,6.706438383335352,32,5,8.15,6.706438383335352,654,7,151.0625,217.15753690197656,653,6,150.0625,217.15753690197656,649,2,146.0625,217.15753690197656,22.82187190110964,22.510664557003608,21.61162111847505,0.3112073441060406,3305100.1142857145,5103135.19424928,23143971.0,174.0,115678188.0,6088325.684210528,5676789.204548084,23143971.0,38000.0,115678330.0,7711888.666666668,8923662.298293306,28199957.0,353.0,200,20,40,160,16,64,0.1728929689478003,0.1383143751582403,73.33333333333333,7,654,158.76487556851396,25206.28571428572,72.33333333333333,6,653,158.76487556851396,25206.28571428572,69.44444444444444,2,649,158.31982899803882,25065.16825396825,2039106.8,2437731.326790584,7460953.0,0.0,9528712.0,5812374.2738085,23143971.0,5042557.0,1,12,36,MASTER,1,129,0,0,0,20,16,REPLAY
1,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:37:06 ,115370130.0,9,15,108,99,81,1454,1439,1379,26,8,12.0,6.5383484153110105,25,7,11.0,6.5383484153110105,23,5,9.0,6.5383484153110105,282,7,96.93333333333334,116.96364921673415,281,6,95.93333333333334,116.96364921673415,277,2,91.93333333333334,116.96364921673415,13.539033023539108,13.331006907940557,12.654922032245262,0.2080261155985522,5016092.608695652,10443735.012799034,36202044.0,14.0,115369168.0,14421146.0,15691342.40633108,36202889.0,164116.0,115369780.0,8240698.571428573,12523732.300997429,36202044.0,308.0,90,9,18,150,15,60,0.078009793349457,0.1300163222490951,65.08333333333333,7,282,100.53029682493803,10106.340579710146,64.08333333333333,6,281,100.53029682493803,10106.340579710146,60.83333333333334,2,277,100.1210861110584,10024.23188405797,833700.6,1772691.066585151,4002196.0,0.0,21841885.4,12070783.464426585,36202044.0,7613372.0,1,12,24,MASTER,1,129,0,0,0,9,15,REPLAY
2,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:39:39 ,105047576.0,14,15,157,143,115,1949,1934,1874,35,8,11.214285714285712,7.577076475269858,34,7,10.214285714285714,7.577076475269858,32,5,8.214285714285714,7.577076475269858,654,7,129.93333333333334,207.0567440053456,653,6,128.93333333333334,207.0567440053456,649,2,124.93333333333334,207.0567440053456,20.04805898614928,19.771993596501453,18.934277931363205,0.2760653896478297,3751699.142857143,5591233.467530344,18893883.0,197.0,105047265.0,8080558.846153846,7146556.7207638975,19193966.0,37852.0,105047291.0,7503377.928571427,7465234.37482027,23340587.0,1296667.0,140,14,28,150,15,60,0.1332729467265384,0.1427924429212912,72.6206896551724,7,654,158.4549088166057,25107.95812807881,71.6206896551724,6,653,158.4549088166057,25107.95812807881,68.58620689655173,2,649,158.07017366649427,24986.17980295566,1684248.75,2220704.9018886355,6003251.0,0.0,11446659.375,4852428.464101688,18893883.0,5046891.0,1,12,29,MASTER,1,129,0,0,0,14,15,REPLAY
3,192.168.1.4-192.168.1.2-20000-48948,192.168.1.4,192.168.1.2,20000,48948,6, 18/05/2020  18:41:44 ,118543461.0,11,8,1426,1415,1371,109,101,85,282,7,129.63636363636363,123.75643233971536,281,6,128.63636363636363,123.75643233971536,277,2,124.63636363636364,123.75643233971536,35,8,13.625,9.545941546018392,34,7,12.625,9.545941546018392,32,5,10.625,9.545941546018392,12.948837388845934,12.788558619863476,12.282415138866243,0.1602787689824578,6585747.833333332,13431153.303800482,50000161.0,253.0,118543461.0,11854346.1,17164594.45494484,50000628.0,1035.0,118542449.0,16934635.57142857,17606969.371944074,50000414.0,2001031.0,110,11,44,80,8,16,0.0927929715161598,0.067485797466298,80.78947368421052,7,282,109.57725785306224,12007.175438596492,79.78947368421052,6,281,109.57725785306224,12007.175438596492,76.63157894736842,2,277,109.03577930931958,11888.801169590644,1067083.5,1651444.756941529,3491661.0,253.0,26827373.75,17627780.969595034,50000161.0,9258737.0,12,1,19,OUTSTATION,1,129,0,0,0,8,11,REPLAY
4,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:43:45 ,108008993.0,9,11,108,99,81,982,971,927,35,8,12.0,9.124143795447331,34,7,11.0,9.124143795447331,32,5,9.0,9.124143795447331,282,7,89.27272727272727,118.30054176468586,281,6,88.27272727272727,118.30054176468586,277,2,84.27272727272727,118.30054176468586,10.091752267332035,9.90658250095897,9.33255622520247,0.1851697663730648,5684683.842105263,9834022.648190964,35965965.0,191.0,107998074.0,13499759.25,15550947.57636182,39929251.0,44563.0,108008725.0,10800872.5,13176638.70041774,35966165.0,848.0,90,9,18,110,11,44,0.0833263948678792,0.1018433715051856,54.5,7,282,94.63864794158108,8956.473684210527,53.5,6,281,94.63864794158108,8956.473684210527,50.4,2,277,94.21777684537145,8876.989473684209,122370.83333333331,280421.65649636736,693866.0,0.0,17051943.0,10818329.739187876,35965965.0,7992350.0,1,12,20,MASTER,1,129,0,0,0,9,11,REPLAY
5,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:46:27 ,114978377.0,20,20,178,158,118,1028,1008,928,17,8,8.9,2.7701415506299165,16,7,7.9,2.7701415506299165,14,5,5.9,2.7701415506299165,282,7,51.4,94.29650883753528,281,6,50.4,94.29650883753528,277,2,46.4,94.29650883753528,10.488928713961585,10.1410372143277,9.097362715426051,0.3478914996338833,2948163.512820513,8184461.40109212,49976349.0,205.0,114978160.0,6051482.105263158,11029403.770462869,49984884.0,17665.0,114978144.0,6051481.263157895,11115660.194995072,49976619.0,8009.0,200,20,40,200,20,80,0.1739457498169416,0.1739457498169416,30.15,7,282,69.27335300025138,4798.797435897436,29.15,6,281,69.27335300025138,4798.797435897436,26.15,2,277,68.96545028732382,4756.233333333334,4549044.166666667,8803348.483304733,22059651.0,233.0,14613982.5,17438960.179827403,49976349.0,5041342.0,1,12,40,MASTER,1,129,0,0,0,20,20,REPLAY
6,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:48:32 ,107469992.0,30,30,258,228,168,1098,1068,948,17,8,8.6,2.2833731853221626,16,7,7.6,2.2833731853221626,14,5,5.6,2.2833731853221626,282,7,36.6,79.23931451948106,281,6,35.6,79.23931451948106,277,2,31.6,79.23931451948106,12.617475583323763,12.059180203530676,10.384294064151415,0.5582953797930867,1821525.288135593,3161826.290217488,15758109.0,115.0,107469775.0,3705854.3103448274,3683189.277402583,15758992.0,870.0,107469802.0,3705855.241379311,4404391.087395433,15758372.0,325.0,300,30,60,300,30,120,0.2791476898965433,0.2791476898965433,22.6,7,282,57.34203061085534,3288.108474576271,21.6,6,281,57.34203061085534,3288.108474576271,18.6,2,277,57.10210895805536,3260.650847457627,7840437.0,5691825.587381258,17056793.0,231.0,10036626.833333334,3256003.150009743,15758109.0,5921503.0,1,12,60,MASTER,1,129,0,0,0,30,30,REPLAY
7,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:50:33 ,114744981.0,24,24,210,186,138,1056,1032,936,17,8,8.75,2.54096866157976,16,7,7.75,2.54096866157976,14,5,5.75,2.54096866157976,282,7,44.0,87.35634169757002,281,6,43.0,87.35634169757002,277,2,39.0,87.35634169757002,11.033162313216994,10.614843362952843,9.359886512160386,0.4183189502641514,2441382.574468085,6036431.118243272,34954365.0,89.0,114744764.0,4988902.782608695,7940878.708052622,34954365.0,924.0,114744757.0,4988902.478260869,8901680.879961977,38004136.0,497.0,240,24,48,240,24,96,0.2091594751320756,0.2091594751320756,26.375,7,282,63.6772530279965,4054.792553191489,25.375,6,281,63.6772530279965,4054.792553191489,22.375,2,277,63.402001780600216,4019.8138297872338,3570469.8,5967972.618365527,14020377.0,0.0,16330747.6,11688618.779136045,34954365.0,5045859.0,1,12,48,MASTER,1,129,0,0,0,24,24,REPLAY
8,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:52:33 ,110370515.0,15,16,138,123,93,1000,984,920,17,8,9.2,3.1667919774704862,16,7,8.2,3.1667919774704862,14,5,6.2,3.1667919774704854,282,7,62.5,102.98478852076488,281,6,61.5,102.98478852076488,277,2,57.5,102.98478852076488,10.310724743832171,10.029852628666273,9.17817589235676,0.2808721151659028,3679017.166666666,6473361.60734122,25006789.0,177.0,110370291.0,7883592.214285715,8667324.256630285,26387890.0,56968.0,109308251.0,7287216.733333332,7696117.311697331,25007013.0,606.0,150,15,30,160,16,64,0.1359058621770497,0.144966252988853,36.70967741935485,7,282,77.72223772228345,6040.746236559141,35.70967741935485,6,281,77.72223772228345,6040.746236559141,32.67741935483871,2,277,77.37415033320205,5986.759139784947,1322525.0,2245257.7624320616,6012226.0,0.0,12473761.375,7141851.225142359,25006789.0,5255401.0,1,12,31,MASTER,1,129,0,0,0,15,16,REPLAY
9,192.168.1.4-192.168.1.2-20000-48948,192.168.1.4,192.168.1.2,20000,48948,6, 18/05/2020  18:54:47 ,117309063.0,11,7,2365,2354,2310,128,121,107,654,7,215.0,213.3508846946738,653,6,214.0,213.3508846946738,649,2,210.0,213.3508846946738,62,8,18.285714285714285,19.73756389657621,61,7,17.285714285714285,19.73756389657621,59,5,15.285714285714285,19.73756389657621,21.251554962978435,21.098114132920827,20.60369368051299,0.153440830057606,6900533.117647058,11053659.916511329,32033282.0,33.0,117309063.0,11730906.3,12420196.64855603,32033550.0,334.0,111838826.0,18639804.33333333,12196269.94882586,32033998.0,2000915.0,110,11,44,70,7,14,0.0937693961463148,0.0596714339112912,138.5,7,654,191.44320306555684,36650.5,137.5,6,653,191.44320306555684,36650.5,134.27777777777777,2,649,190.9280140156172,36453.50653594772,732713.0,1791889.283318141,4390390.0,0.0,18485275.33333333,11755160.609062262,32033282.0,5470019.0,12,1,18,OUTSTATION,1,129,0,0,0,7,11,REPLAY
